RepoName;TravisFullPath;TravisFileGitURL
erictleung/review;D:/PhD Work/repos/applied/erictleung/review/.travis.yml;https://github.com/erictleung/review/blob/master/.travis.yml
HunterMcGushion/hyperparameter_hunter;D:/PhD Work/repos/applied/HunterMcGushion/hyperparameter_hunter/.travis.yml;https://github.com/HunterMcGushion/hyperparameter_hunter/blob/master/.travis.yml
DataHaskell/dh-core;D:/PhD Work/repos/applied/DataHaskell/dh-core/.travis.yml;https://github.com/DataHaskell/dh-core/blob/master/.travis.yml
DataHaskell/dh-core;D:/PhD Work/repos/applied/DataHaskell/dh-core/datasets/.travis.yml;https://github.com/DataHaskell/dh-core/blob/master/datasets/.travis.yml
DataHaskell/dh-core;D:/PhD Work/repos/applied/DataHaskell/dh-core/.travis.yml;https://github.com/DataHaskell/dh-core/blob/master/.travis.yml
triagemd/model-serving;D:/PhD Work/repos/applied/triagemd/model-serving/.travis.yml;https://github.com/triagemd/model-serving/blob/master/.travis.yml
5hirish/adam_qas;D:/PhD Work/repos/applied/5hirish/adam_qas/.travis.yml;https://github.com/5hirish/adam_qas/blob/master/.travis.yml
clawpack/riemann_book;D:/PhD Work/repos/applied/clawpack/riemann_book/.travis.yml;https://github.com/clawpack/riemann_book/blob/master/.travis.yml
fnl/syntok;D:/PhD Work/repos/applied/fnl/syntok/.travis.yml;https://github.com/fnl/syntok/blob/master/.travis.yml
repetere/modelscript;D:/PhD Work/repos/applied/repetere/modelscript/.travis.yml;https://github.com/repetere/modelscript/blob/master/.travis.yml
deepfakes/faceswap;D:/PhD Work/repos/applied/deepfakes/faceswap/.travis.yml;https://github.com/deepfakes/faceswap/blob/master/.travis.yml
trappmartin/SumProductNetworks.jl;D:/PhD Work/repos/applied/trappmartin/SumProductNetworks.jl/.travis.yml;https://github.com/trappmartin/SumProductNetworks.jl/blob/master/.travis.yml
vgrabovets/multi_rake;D:/PhD Work/repos/applied/vgrabovets/multi_rake/.travis.yml;https://github.com/vgrabovets/multi_rake/blob/master/.travis.yml
rhiever/datacleaner;D:/PhD Work/repos/applied/rhiever/datacleaner/.travis.yml;https://github.com/rhiever/datacleaner/blob/master/.travis.yml
kfoynt/LocalGraphClustering;D:/PhD Work/repos/applied/kfoynt/LocalGraphClustering/.travis.yml;https://github.com/kfoynt/LocalGraphClustering/blob/master/.travis.yml
OpenNMT/OpenNMT;D:/PhD Work/repos/applied/OpenNMT/OpenNMT/.travis.yml;https://github.com/OpenNMT/OpenNMT/blob/master/.travis.yml
JasonKessler/scattertext;D:/PhD Work/repos/applied/JasonKessler/scattertext/.travis.yml;https://github.com/JasonKessler/scattertext/blob/master/.travis.yml
pyro-ppl/funsor;D:/PhD Work/repos/applied/pyro-ppl/funsor/.travis.yml;https://github.com/pyro-ppl/funsor/blob/master/.travis.yml
justusschock/shapenet;D:/PhD Work/repos/applied/justusschock/shapenet/.travis.yml;https://github.com/justusschock/shapenet/blob/master/.travis.yml
miguelmota/sobel;D:/PhD Work/repos/applied/miguelmota/sobel/.travis.yml;https://github.com/miguelmota/sobel/blob/master/.travis.yml
allwefantasy/streamingpro;D:/PhD Work/repos/applied/allwefantasy/streamingpro/.travis.yml;https://github.com/allwefantasy/streamingpro/blob/master/.travis.yml
rsokl/noggin;D:/PhD Work/repos/applied/rsokl/noggin/.travis.yml;https://github.com/rsokl/noggin/blob/master/.travis.yml
masterdezign/hmep;D:/PhD Work/repos/applied/masterdezign/hmep/.travis.yml;https://github.com/masterdezign/hmep/blob/master/.travis.yml
dbiir/UER-py;D:/PhD Work/repos/applied/dbiir/UER-py/.travis.yml;https://github.com/dbiir/UER-py/blob/master/.travis.yml
coin-or/Gravity;D:/PhD Work/repos/applied/coin-or/Gravity/.travis.yml;https://github.com/coin-or/Gravity/blob/master/.travis.yml
JuliaTPU/XLA.jl;D:/PhD Work/repos/applied/JuliaTPU/XLA.jl/.travis.yml;https://github.com/JuliaTPU/XLA.jl/blob/master/.travis.yml
eyounx/ZOOpt;D:/PhD Work/repos/applied/eyounx/ZOOpt/.travis.yml;https://github.com/eyounx/ZOOpt/blob/master/.travis.yml
msmbuilder/osprey;D:/PhD Work/repos/applied/msmbuilder/osprey/.travis.yml;https://github.com/msmbuilder/osprey/blob/master/.travis.yml
CyberZHG/keras-word-char-embd;D:/PhD Work/repos/applied/CyberZHG/keras-word-char-embd/.travis.yml;https://github.com/CyberZHG/keras-word-char-embd/blob/master/.travis.yml
pillarpond/face-recognizer-android;D:/PhD Work/repos/applied/pillarpond/face-recognizer-android/.travis.yml;https://github.com/pillarpond/face-recognizer-android/blob/master/.travis.yml
nlpie/biomedicus;D:/PhD Work/repos/applied/nlpie/biomedicus/.travis.yml;https://github.com/nlpie/biomedicus/blob/master/.travis.yml
php-opencv/php-opencv;D:/PhD Work/repos/applied/php-opencv/php-opencv/.travis.yml;https://github.com/php-opencv/php-opencv/blob/master/.travis.yml
graphaware/neo4j-nlp;D:/PhD Work/repos/applied/graphaware/neo4j-nlp/.travis.yml;https://github.com/graphaware/neo4j-nlp/blob/master/.travis.yml
inukshuk/anystyle;D:/PhD Work/repos/applied/inukshuk/anystyle/.travis.yml;https://github.com/inukshuk/anystyle/blob/master/.travis.yml
autonomio/wrangle;D:/PhD Work/repos/applied/autonomio/wrangle/.travis.yml;https://github.com/autonomio/wrangle/blob/master/.travis.yml
dillondaudert/UMAP.jl;D:/PhD Work/repos/applied/dillondaudert/UMAP.jl/.travis.yml;https://github.com/dillondaudert/UMAP.jl/blob/master/.travis.yml
chovanecm/sacredboard;D:/PhD Work/repos/applied/chovanecm/sacredboard/.travis.yml;https://github.com/chovanecm/sacredboard/blob/master/.travis.yml
ironmussa/Optimus;D:/PhD Work/repos/applied/ironmussa/Optimus/.travis.yml;https://github.com/ironmussa/Optimus/blob/master/.travis.yml
JuliaPOMDP/POMDPGallery.jl;D:/PhD Work/repos/applied/JuliaPOMDP/POMDPGallery.jl/.travis.yml;https://github.com/JuliaPOMDP/POMDPGallery.jl/blob/master/.travis.yml
jajupmochi/py-graph;D:/PhD Work/repos/applied/jajupmochi/py-graph/.travis.yml;https://github.com/jajupmochi/py-graph/blob/master/.travis.yml
akoumjian/datefinder;D:/PhD Work/repos/applied/akoumjian/datefinder/.travis.yml;https://github.com/akoumjian/datefinder/blob/master/.travis.yml
LaurentMazare/tch-rs;D:/PhD Work/repos/applied/LaurentMazare/tch-rs/.travis.yml;https://github.com/LaurentMazare/tch-rs/blob/master/.travis.yml
lanpa/tensorboardX;D:/PhD Work/repos/applied/lanpa/tensorboardX/.travis.yml;https://github.com/lanpa/tensorboardX/blob/master/.travis.yml
jveitchmichaelis/deeplabel;D:/PhD Work/repos/applied/jveitchmichaelis/deeplabel/.travis.yml;https://github.com/jveitchmichaelis/deeplabel/blob/master/.travis.yml
samtecspg/articulate;D:/PhD Work/repos/applied/samtecspg/articulate/ui/.travis.yml;https://github.com/samtecspg/articulate/blob/master/ui/.travis.yml
Erotemic/netharn;D:/PhD Work/repos/applied/Erotemic/netharn/.travis.yml;https://github.com/Erotemic/netharn/blob/master/.travis.yml
keon/3-min-pytorch;D:/PhD Work/repos/applied/keon/3-min-pytorch/.travis.yml;https://github.com/keon/3-min-pytorch/blob/master/.travis.yml
pandoraboxchain/pyrrha-pynode;D:/PhD Work/repos/applied/pandoraboxchain/pyrrha-pynode/.travis.yml;https://github.com/pandoraboxchain/pyrrha-pynode/blob/master/.travis.yml
marl/openl3;D:/PhD Work/repos/applied/marl/openl3/.travis.yml;https://github.com/marl/openl3/blob/master/.travis.yml
betterlife/betterlifepsi;D:/PhD Work/repos/applied/betterlife/betterlifepsi/.travis.yml;https://github.com/betterlife/betterlifepsi/blob/master/.travis.yml
lyst/lightfm;D:/PhD Work/repos/applied/lyst/lightfm/.travis.yml;https://github.com/lyst/lightfm/blob/master/.travis.yml
TuringLang/Turing.jl;D:/PhD Work/repos/applied/TuringLang/Turing.jl/.travis.yml;https://github.com/TuringLang/Turing.jl/blob/master/.travis.yml
lmcinnes/umap;D:/PhD Work/repos/applied/lmcinnes/umap/.travis.yml;https://github.com/lmcinnes/umap/blob/master/.travis.yml
Tomotoes/SmartHome;D:/PhD Work/repos/applied/Tomotoes/SmartHome/.travis.yml;https://github.com/Tomotoes/SmartHome/blob/master/.travis.yml
ModelChimp/modelchimp;D:/PhD Work/repos/applied/ModelChimp/modelchimp/client/.travis.yml;https://github.com/ModelChimp/modelchimp/blob/master/client/.travis.yml
jcreinhold/synthtorch;D:/PhD Work/repos/applied/jcreinhold/synthtorch/.travis.yml;https://github.com/jcreinhold/synthtorch/blob/master/.travis.yml
khs1994-php/tencent-ai;D:/PhD Work/repos/applied/khs1994-php/tencent-ai/.travis.yml;https://github.com/khs1994-php/tencent-ai/blob/master/.travis.yml
miguelvr/dropblock;D:/PhD Work/repos/applied/miguelvr/dropblock/.travis.yml;https://github.com/miguelvr/dropblock/blob/master/.travis.yml
raskr/rust-autograd;D:/PhD Work/repos/applied/raskr/rust-autograd/.travis.yml;https://github.com/raskr/rust-autograd/blob/master/.travis.yml
RTradeLtd/Lens;D:/PhD Work/repos/applied/RTradeLtd/Lens/.travis.yml;https://github.com/RTradeLtd/Lens/blob/master/.travis.yml
sbl-sdsc/mmtf-spark;D:/PhD Work/repos/applied/sbl-sdsc/mmtf-spark/.travis.yml;https://github.com/sbl-sdsc/mmtf-spark/blob/master/.travis.yml
eellak/gsoc2018-3gm;D:/PhD Work/repos/applied/eellak/gsoc2018-3gm/.travis.yml;https://github.com/eellak/gsoc2018-3gm/blob/master/.travis.yml
X-DataInitiative/tick;D:/PhD Work/repos/applied/X-DataInitiative/tick/.travis.yml;https://github.com/X-DataInitiative/tick/blob/master/.travis.yml
CyberZHG/keras-pos-embd;D:/PhD Work/repos/applied/CyberZHG/keras-pos-embd/.travis.yml;https://github.com/CyberZHG/keras-pos-embd/blob/master/.travis.yml
pbiecek/breakDown;D:/PhD Work/repos/applied/pbiecek/breakDown/.travis.yml;https://github.com/pbiecek/breakDown/blob/master/.travis.yml
