RepoName,RepoType,TravisFilePath,Travis+FileURL,GithubFileURL,TravisRepoURL,GithubRepoURL
gbolmier/funk-svd,Applied,D:/PhD Work/repos/applied/gbolmier/funk-svd/.travis.yml,https://github.com/gbolmier/funk-svd/blob/master/.travis.yml,https://travis-ci.org/gbolmier/funk-svd,https://github.com/gbolmier/funk-svd.git
jupyterhub/zero-to-jupyterhub-k8s,Applied,D:/PhD Work/repos/applied/jupyterhub/zero-to-jupyterhub-k8s/.travis.yml,https://github.com/jupyterhub/zero-to-jupyterhub-k8s/blob/master/.travis.yml,https://travis-ci.org/jupyterhub/zero-to-jupyterhub-k8s,https://github.com/jupyterhub/zero-to-jupyterhub-k8s.git
sagemathinc/cocalc,Applied,D:/PhD Work/repos/applied/sagemathinc/cocalc/.travis.yml,https://github.com/sagemathinc/cocalc/blob/master/.travis.yml,https://travis-ci.org/sagemathinc/cocalc,https://github.com/sagemathinc/cocalc.git
qubvel/efficientnet,Applied,D:/PhD Work/repos/applied/qubvel/efficientnet/.travis.yml,https://github.com/qubvel/efficientnet/blob/master/.travis.yml,https://travis-ci.org/qubvel/efficientnet,https://github.com/qubvel/efficientnet.git
HunterMcGushion/hyperparameter_hunter,Applied,D:/PhD Work/repos/applied/HunterMcGushion/hyperparameter_hunter/.travis.yml,https://github.com/HunterMcGushion/hyperparameter_hunter/blob/master/.travis.yml,https://travis-ci.org/HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter.git
triagemd/model-serving,Applied,D:/PhD Work/repos/applied/triagemd/model-serving/.travis.yml,https://github.com/triagemd/model-serving/blob/master/.travis.yml,https://travis-ci.org/triagemd/model-serving,https://github.com/triagemd/model-serving.git
5hirish/adam_qas,Applied,D:/PhD Work/repos/applied/5hirish/adam_qas/.travis.yml,https://github.com/5hirish/adam_qas/blob/master/.travis.yml,https://travis-ci.org/5hirish/adam_qas,https://github.com/5hirish/adam_qas.git
clawpack/riemann_book,Applied,D:/PhD Work/repos/applied/clawpack/riemann_book/.travis.yml,https://github.com/clawpack/riemann_book/blob/master/.travis.yml,https://travis-ci.org/clawpack/riemann_book,https://github.com/clawpack/riemann_book.git
fnl/syntok,Applied,D:/PhD Work/repos/applied/fnl/syntok/.travis.yml,https://github.com/fnl/syntok/blob/master/.travis.yml,https://travis-ci.org/fnl/syntok,https://github.com/fnl/syntok.git
vgrabovets/multi_rake,Applied,D:/PhD Work/repos/applied/vgrabovets/multi_rake/.travis.yml,https://github.com/vgrabovets/multi_rake/blob/master/.travis.yml,https://travis-ci.org/vgrabovets/multi_rake,https://github.com/vgrabovets/multi_rake.git
rhiever/datacleaner,Applied,D:/PhD Work/repos/applied/rhiever/datacleaner/.travis.yml,https://github.com/rhiever/datacleaner/blob/master/.travis.yml,https://travis-ci.org/rhiever/datacleaner,https://github.com/rhiever/datacleaner.git
kfoynt/LocalGraphClustering,Applied,D:/PhD Work/repos/applied/kfoynt/LocalGraphClustering/.travis.yml,https://github.com/kfoynt/LocalGraphClustering/blob/master/.travis.yml,https://travis-ci.org/kfoynt/LocalGraphClustering,https://github.com/kfoynt/LocalGraphClustering.git
JasonKessler/scattertext,Applied,D:/PhD Work/repos/applied/JasonKessler/scattertext/.travis.yml,https://github.com/JasonKessler/scattertext/blob/master/.travis.yml,https://travis-ci.org/JasonKessler/scattertext,https://github.com/JasonKessler/scattertext.git
pyro-ppl/funsor,Applied,D:/PhD Work/repos/applied/pyro-ppl/funsor/.travis.yml,https://github.com/pyro-ppl/funsor/blob/master/.travis.yml,https://travis-ci.org/pyro-ppl/funsor,https://github.com/pyro-ppl/funsor.git
justusschock/shapenet,Applied,D:/PhD Work/repos/applied/justusschock/shapenet/.travis.yml,https://github.com/justusschock/shapenet/blob/master/.travis.yml,https://travis-ci.org/justusschock/shapenet,https://github.com/justusschock/shapenet.git
rsokl/noggin,Applied,D:/PhD Work/repos/applied/rsokl/noggin/.travis.yml,https://github.com/rsokl/noggin/blob/master/.travis.yml,https://travis-ci.org/rsokl/noggin,https://github.com/rsokl/noggin.git
dbiir/UER-py,Applied,D:/PhD Work/repos/applied/dbiir/UER-py/.travis.yml,https://github.com/dbiir/UER-py/blob/master/.travis.yml,https://travis-ci.org/dbiir/UER-py,https://github.com/dbiir/UER-py.git
eyounx/ZOOpt,Applied,D:/PhD Work/repos/applied/eyounx/ZOOpt/.travis.yml,https://github.com/eyounx/ZOOpt/blob/master/.travis.yml,https://travis-ci.org/eyounx/ZOOpt,https://github.com/eyounx/ZOOpt.git
CyberZHG/keras-word-char-embd,Applied,D:/PhD Work/repos/applied/CyberZHG/keras-word-char-embd/.travis.yml,https://github.com/CyberZHG/keras-word-char-embd/blob/master/.travis.yml,https://travis-ci.org/CyberZHG/keras-word-char-embd,https://github.com/CyberZHG/keras-word-char-embd.git
autonomio/wrangle,Applied,D:/PhD Work/repos/applied/autonomio/wrangle/.travis.yml,https://github.com/autonomio/wrangle/blob/master/.travis.yml,https://travis-ci.org/autonomio/wrangle,https://github.com/autonomio/wrangle.git
ironmussa/Optimus,Applied,D:/PhD Work/repos/applied/ironmussa/Optimus/.travis.yml,https://github.com/ironmussa/Optimus/blob/master/.travis.yml,No Travis ,https://github.com/ironmussa/Optimus.git
jajupmochi/py-graph,Applied,D:/PhD Work/repos/applied/jajupmochi/py-graph/.travis.yml,https://github.com/jajupmochi/py-graph/blob/master/.travis.yml,https://travis-ci.org/jajupmochi/py-graph,https://github.com/jajupmochi/py-graph.git
akoumjian/datefinder,Applied,D:/PhD Work/repos/applied/akoumjian/datefinder/.travis.yml,https://github.com/akoumjian/datefinder/blob/master/.travis.yml,https://travis-ci.org/akoumjian/datefinder,https://github.com/akoumjian/datefinder.git
lanpa/tensorboardX,Applied,D:/PhD Work/repos/applied/lanpa/tensorboardX/.travis.yml,https://github.com/lanpa/tensorboardX/blob/master/.travis.yml,https://travis-ci.org/lanpa/tensorboardX,https://github.com/lanpa/tensorboardX.git
Erotemic/netharn,Applied,D:/PhD Work/repos/applied/Erotemic/netharn/.travis.yml,https://github.com/Erotemic/netharn/blob/master/.travis.yml,https://travis-ci.org/Erotemic/netharn,https://github.com/Erotemic/netharn.git
keon/3-min-pytorch,Applied,D:/PhD Work/repos/applied/keon/3-min-pytorch/.travis.yml,https://github.com/keon/3-min-pytorch/blob/master/.travis.yml,https://travis-ci.org/keon/3-min-pytorch,https://github.com/keon/3-min-pytorch.git
pandoraboxchain/pyrrha-pynode,Applied,D:/PhD Work/repos/applied/pandoraboxchain/pyrrha-pynode/.travis.yml,https://github.com/pandoraboxchain/pyrrha-pynode/blob/master/.travis.yml,https://travis-ci.org/pandoraboxchain/pyrrha-pynode,https://github.com/pandoraboxchain/pyrrha-pynode.git
marl/openl3,Applied,D:/PhD Work/repos/applied/marl/openl3/.travis.yml,https://github.com/marl/openl3/blob/master/.travis.yml,https://travis-ci.org/marl/openl3,https://github.com/marl/openl3.git
betterlife/betterlifepsi,Applied,D:/PhD Work/repos/applied/betterlife/betterlifepsi/.travis.yml,https://github.com/betterlife/betterlifepsi/blob/master/.travis.yml,https://travis-ci.org/betterlife/betterlifepsi,https://github.com/betterlife/betterlifepsi.git
lmcinnes/umap,Applied,D:/PhD Work/repos/applied/lmcinnes/umap/.travis.yml,https://github.com/lmcinnes/umap/blob/master/.travis.yml,https://travis-ci.org/lmcinnes/umap,https://github.com/lmcinnes/umap.git
jcreinhold/synthtorch,Applied,D:/PhD Work/repos/applied/jcreinhold/synthtorch/.travis.yml,https://github.com/jcreinhold/synthtorch/blob/master/.travis.yml,https://travis-ci.org/jcreinhold/synthtorch,https://github.com/jcreinhold/synthtorch.git
miguelvr/dropblock,Applied,D:/PhD Work/repos/applied/miguelvr/dropblock/.travis.yml,https://github.com/miguelvr/dropblock/blob/master/.travis.yml,https://travis-ci.org/miguelvr/dropblock,https://github.com/miguelvr/dropblock.git
eellak/gsoc2018-3gm,Applied,D:/PhD Work/repos/applied/eellak/gsoc2018-3gm/.travis.yml,https://github.com/eellak/gsoc2018-3gm/blob/master/.travis.yml,https://travis-ci.org/eellak/gsoc2018-3gm,https://github.com/eellak/gsoc2018-3gm.git
CyberZHG/keras-pos-embd,Applied,D:/PhD Work/repos/applied/CyberZHG/keras-pos-embd/.travis.yml,https://github.com/CyberZHG/keras-pos-embd/blob/master/.travis.yml,https://travis-ci.org/CyberZHG/keras-pos-embd,https://github.com/CyberZHG/keras-pos-embd.git
uchicago-cs/deepdish,Applied,D:/PhD Work/repos/applied/uchicago-cs/deepdish/.travis.yml,https://github.com/uchicago-cs/deepdish/blob/master/.travis.yml,https://travis-ci.org/uchicago-cs/deepdish,https://github.com/uchicago-cs/deepdish.git
ml-libs/mlserve,Applied,D:/PhD Work/repos/applied/ml-libs/mlserve/.travis.yml,https://github.com/ml-libs/mlserve/blob/master/.travis.yml,https://travis-ci.org/ml-libs/mlserve,https://github.com/ml-libs/mlserve.git
polyaxon/polyaxon-schemas,Applied,D:/PhD Work/repos/applied/polyaxon/polyaxon-schemas/.travis.yml,https://github.com/polyaxon/polyaxon-schemas/blob/master/.travis.yml,https://travis-ci.org/polyaxon/polyaxon-schemas,https://github.com/polyaxon/polyaxon-schemas.git
oval-group/mlogger,Applied,D:/PhD Work/repos/applied/oval-group/mlogger/.travis.yml,https://github.com/oval-group/mlogger/blob/master/.travis.yml,https://travis-ci.org/oval-group/mlogger,https://github.com/oval-group/mlogger.git
IBM/MAX-Speech-to-Text-Converter,Applied,D:/PhD Work/repos/applied/IBM/MAX-Speech-to-Text-Converter/.travis.yml,https://github.com/IBM/MAX-Speech-to-Text-Converter/blob/master/.travis.yml,https://travis-ci.org/IBM/MAX-Speech-to-Text-Converter,https://github.com/IBM/MAX-Speech-to-Text-Converter.git
arm61/pylj,Applied,D:/PhD Work/repos/applied/arm61/pylj/.travis.yml,https://github.com/arm61/pylj/blob/master/.travis.yml,https://travis-ci.org/arm61/pylj,https://github.com/arm61/pylj.git
lopuhin/transformer-lm,Applied,D:/PhD Work/repos/applied/lopuhin/transformer-lm/.travis.yml,https://github.com/lopuhin/transformer-lm/blob/master/.travis.yml,https://travis-ci.org/lopuhin/transformer-lm,https://github.com/lopuhin/transformer-lm.git
poldracklab/mriqc,Applied,D:/PhD Work/repos/applied/poldracklab/mriqc/.travis.yml,https://github.com/poldracklab/mriqc/blob/master/.travis.yml,https://travis-ci.org/poldracklab/mriqc,https://github.com/poldracklab/mriqc.git
philgooch/abbreviation-extraction,Applied,D:/PhD Work/repos/applied/philgooch/abbreviation-extraction/.travis.yml,https://github.com/philgooch/abbreviation-extraction/blob/master/.travis.yml,https://travis-ci.org/philgooch/abbreviation-extraction,https://github.com/philgooch/abbreviation-extraction.git
jupyter/dashboards,Applied,D:/PhD Work/repos/applied/jupyter/dashboards/.travis.yml,https://github.com/jupyter/dashboards/blob/master/.travis.yml,https://travis-ci.org/jupyter/dashboards,https://github.com/jupyter/dashboards.git
soaxelbrooke/python-bpe,Applied,D:/PhD Work/repos/applied/soaxelbrooke/python-bpe/.travis.yml,https://github.com/soaxelbrooke/python-bpe/blob/master/.travis.yml,https://travis-ci.org/soaxelbrooke/python-bpe,https://github.com/soaxelbrooke/python-bpe.git
jerrygaoLondon/jgtextrank,Applied,D:/PhD Work/repos/applied/jerrygaoLondon/jgtextrank/.travis.yml,https://github.com/jerrygaoLondon/jgtextrank/blob/master/.travis.yml,https://travis-ci.org/jerrygaoLondon/jgtextrank,https://github.com/jerrygaoLondon/jgtextrank.git
OpenNMT/OpenNMT-py,Applied,D:/PhD Work/repos/applied/OpenNMT/OpenNMT-py/.travis.yml,https://github.com/OpenNMT/OpenNMT-py/blob/master/.travis.yml,https://travis-ci.org/OpenNMT/OpenNMT-py,https://github.com/OpenNMT/OpenNMT-py.git
rgal/gym-2048,Applied,D:/PhD Work/repos/applied/rgal/gym-2048/.travis.yml,https://github.com/rgal/gym-2048/blob/master/.travis.yml,https://travis-ci.org/rgal/gym-2048,https://github.com/rgal/gym-2048.git
nert-nlp/streusle,Applied,D:/PhD Work/repos/applied/nert-nlp/streusle/.travis.yml,https://github.com/nert-nlp/streusle/blob/master/.travis.yml,https://travis-ci.org/nert-nlp/streusle,https://github.com/nert-nlp/streusle.git
HDI-Project/ATM,Applied,D:/PhD Work/repos/applied/HDI-Project/ATM/.travis.yml,https://github.com/HDI-Project/ATM/blob/master/.travis.yml,https://travis-ci.org/HDI-Project/ATM,https://github.com/HDI-Project/ATM.git
DrSleep/DenseTorch,Applied,D:/PhD Work/repos/applied/DrSleep/DenseTorch/.travis.yml,https://github.com/DrSleep/DenseTorch/blob/master/.travis.yml,https://travis-ci.org/DrSleep/DenseTorch,https://github.com/DrSleep/DenseTorch.git
proycon/foliatools,Applied,D:/PhD Work/repos/applied/proycon/foliatools/.travis.yml,https://github.com/proycon/foliatools/blob/master/.travis.yml,https://travis-ci.org/proycon/foliatools,https://github.com/proycon/foliatools.git
SimGus/Chatette,Applied,D:/PhD Work/repos/applied/SimGus/Chatette/.travis.yml,https://github.com/SimGus/Chatette/blob/master/.travis.yml,https://travis-ci.org/SimGus/Chatette,https://github.com/SimGus/Chatette.git
Mogeng/IOHMM,Applied,D:/PhD Work/repos/applied/Mogeng/IOHMM/.travis.yml,https://github.com/Mogeng/IOHMM/blob/master/.travis.yml,https://travis-ci.org/Mogeng/IOHMM,https://github.com/Mogeng/IOHMM.git
amoussawi/recoder,Applied,D:/PhD Work/repos/applied/amoussawi/recoder/.travis.yml,https://github.com/amoussawi/recoder/blob/master/.travis.yml,https://travis-ci.org/amoussawi/recoder,https://github.com/amoussawi/recoder.git
UGentBiomath/wwdata,Applied,D:/PhD Work/repos/applied/UGentBiomath/wwdata/.travis.yml,https://github.com/UGentBiomath/wwdata/blob/master/.travis.yml,https://travis-ci.org/UGentBiomath/wwdata,https://github.com/UGentBiomath/wwdata.git
skggm/skggm,Applied,D:/PhD Work/repos/applied/skggm/skggm/.travis.yml,https://github.com/skggm/skggm/blob/master/.travis.yml,https://travis-ci.org/skggm/skggm,https://github.com/skggm/skggm.git
PrincetonUniversity/ASPIRE-Python,Applied,D:/PhD Work/repos/applied/PrincetonUniversity/ASPIRE-Python/.travis.yml,https://github.com/PrincetonUniversity/ASPIRE-Python/blob/master/.travis.yml,https://travis-ci.org/PrincetonUniversity/ASPIRE-Python,https://github.com/PrincetonUniversity/ASPIRE-Python.git
anrputina/outlierdenstream,Applied,D:/PhD Work/repos/applied/anrputina/outlierdenstream/.travis.yml,https://github.com/anrputina/outlierdenstream/blob/master/.travis.yml,https://travis-ci.org/anrputina/outlierdenstream,https://github.com/anrputina/outlierdenstream.git
IBM/MAX-ResNet-50,Applied,D:/PhD Work/repos/applied/IBM/MAX-ResNet-50/.travis.yml,https://github.com/IBM/MAX-ResNet-50/blob/master/.travis.yml,https://travis-ci.org/IBM/MAX-ResNet-50,https://github.com/IBM/MAX-ResNet-50.git
IBM/MAX-Image-Caption-Generator,Applied,D:/PhD Work/repos/applied/IBM/MAX-Image-Caption-Generator/.travis.yml,https://github.com/IBM/MAX-Image-Caption-Generator/blob/master/.travis.yml,https://travis-ci.org/IBM/MAX-Image-Caption-Generator,https://github.com/IBM/MAX-Image-Caption-Generator.git
amosbastian/understat,Applied,D:/PhD Work/repos/applied/amosbastian/understat/.travis.yml,https://github.com/amosbastian/understat/blob/master/.travis.yml,https://travis-ci.org/amosbastian/understat,https://github.com/amosbastian/understat.git
kiudee/cs-ranking,Applied,D:/PhD Work/repos/applied/kiudee/cs-ranking/.travis.yml,https://github.com/kiudee/cs-ranking/blob/master/.travis.yml,https://travis-ci.org/kiudee/cs-ranking,https://github.com/kiudee/cs-ranking.git
IlyaGusev/summarus,Applied,D:/PhD Work/repos/applied/IlyaGusev/summarus/.travis.yml,https://github.com/IlyaGusev/summarus/blob/master/.travis.yml,https://travis-ci.org/IlyaGusev/summarus,https://github.com/IlyaGusev/summarus.git
msuzen/bristol,Applied,D:/PhD Work/repos/applied/msuzen/bristol/.travis.yml,https://github.com/msuzen/bristol/blob/master/.travis.yml,https://travis-ci.org/msuzen/bristol,https://github.com/msuzen/bristol.git
scikit-learn-contrib/lightning,Applied,D:/PhD Work/repos/applied/scikit-learn-contrib/lightning/.travis.yml,https://github.com/scikit-learn-contrib/lightning/blob/master/.travis.yml,https://travis-ci.org/scikit-learn-contrib/lightning,https://github.com/scikit-learn-contrib/lightning.git
pyro-ppl/pyro,Applied,D:/PhD Work/repos/applied/pyro-ppl/pyro/.travis.yml,https://github.com/pyro-ppl/pyro/blob/master/.travis.yml,https://travis-ci.org/pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git
jkoutsikakis/pytorch-wrapper,Applied,D:/PhD Work/repos/applied/jkoutsikakis/pytorch-wrapper/.travis.yml,https://github.com/jkoutsikakis/pytorch-wrapper/blob/master/.travis.yml,https://travis-ci.org/jkoutsikakis/pytorch-wrapper,https://github.com/jkoutsikakis/pytorch-wrapper.git
docker-science/cookiecutter-docker-science,Applied,D:/PhD Work/repos/applied/docker-science/cookiecutter-docker-science/.travis.yml,https://github.com/docker-science/cookiecutter-docker-science/blob/master/.travis.yml,https://travis-ci.org/docker-science/cookiecutter-docker-science,https://github.com/docker-science/cookiecutter-docker-science.git
georgymh/decentralized-ml,Applied,D:/PhD Work/repos/applied/georgymh/decentralized-ml/.travis.yml,https://github.com/georgymh/decentralized-ml/blob/master/.travis.yml,https://travis-ci.org/georgymh/decentralized-ml,https://github.com/georgymh/decentralized-ml.git
sbl-sdsc/mmtf-pyspark,Applied,D:/PhD Work/repos/applied/sbl-sdsc/mmtf-pyspark/.travis.yml,https://github.com/sbl-sdsc/mmtf-pyspark/blob/master/.travis.yml,https://travis-ci.org/sbl-sdsc/mmtf-pyspark,https://github.com/sbl-sdsc/mmtf-pyspark.git
thuijskens/scikit-hyperband,Applied,D:/PhD Work/repos/applied/thuijskens/scikit-hyperband/.travis.yml,https://github.com/thuijskens/scikit-hyperband/blob/master/.travis.yml,https://travis-ci.org/thuijskens/scikit-hyperband,https://github.com/thuijskens/scikit-hyperband.git
priyankshah7/hypers,Applied,D:/PhD Work/repos/applied/priyankshah7/hypers/.travis.yml,https://github.com/priyankshah7/hypers/blob/master/.travis.yml,https://travis-ci.org/priyankshah7/hypers,https://github.com/priyankshah7/hypers.git
jungtaekkim/bayeso,Applied,D:/PhD Work/repos/applied/jungtaekkim/bayeso/.travis.yml,https://github.com/jungtaekkim/bayeso/blob/master/.travis.yml,https://travis-ci.org/jungtaekkim/bayeso,https://github.com/jungtaekkim/bayeso.git
sherpa-ai/sherpa,Applied,D:/PhD Work/repos/applied/sherpa-ai/sherpa/.travis.yml,https://github.com/sherpa-ai/sherpa/blob/master/.travis.yml,https://travis-ci.org/sherpa-ai/sherpa,https://github.com/sherpa-ai/sherpa.git
justinshenk/fer,Applied,D:/PhD Work/repos/applied/justinshenk/fer/.travis.yml,https://github.com/justinshenk/fer/blob/master/.travis.yml,https://travis-ci.org/justinshenk/fer,https://github.com/justinshenk/fer.git
MycroftAI/mycroft-core,Applied,D:/PhD Work/repos/applied/MycroftAI/mycroft-core/.travis.yml,https://github.com/MycroftAI/mycroft-core/blob/master/.travis.yml,https://travis-ci.org/MycroftAI/mycroft-core,https://github.com/MycroftAI/mycroft-core.git
IBM/MAX-Audio-Sample-Generator,Applied,D:/PhD Work/repos/applied/IBM/MAX-Audio-Sample-Generator/.travis.yml,https://github.com/IBM/MAX-Audio-Sample-Generator/blob/master/.travis.yml,https://travis-ci.org/IBM/MAX-Audio-Sample-Generator,https://github.com/IBM/MAX-Audio-Sample-Generator.git
stanfordnlp/python-stanford-corenlp,Applied,D:/PhD Work/repos/applied/stanfordnlp/python-stanford-corenlp/.travis.yml,https://github.com/stanfordnlp/python-stanford-corenlp/blob/master/.travis.yml,https://travis-ci.org/stanfordnlp/python-stanford-corenlp,https://github.com/stanfordnlp/python-stanford-corenlp.git
stephenhky/PyShortTextCategorization,Applied,D:/PhD Work/repos/applied/stephenhky/PyShortTextCategorization/.travis.yml,https://github.com/stephenhky/PyShortTextCategorization/blob/master/.travis.yml,https://travis-ci.org/stephenhky/PyShortTextCategorization,https://github.com/stephenhky/PyShortTextCategorization.git
IBM/MAX-Image-Caption-Generator-Web-App,Applied,D:/PhD Work/repos/applied/IBM/MAX-Image-Caption-Generator-Web-App/.travis.yml,https://github.com/IBM/MAX-Image-Caption-Generator-Web-App/blob/master/.travis.yml,https://travis-ci.org/IBM/MAX-Image-Caption-Generator-Web-App,https://github.com/IBM/MAX-Image-Caption-Generator-Web-App.git
permfl/dictlearn,Applied,D:/PhD Work/repos/applied/permfl/dictlearn/.travis.yml,https://github.com/permfl/dictlearn/blob/master/.travis.yml,https://travis-ci.org/permfl/dictlearn,https://github.com/permfl/dictlearn.git
Kensuke-Mitsuzawa/JapaneseTokenizers,Applied,D:/PhD Work/repos/applied/Kensuke-Mitsuzawa/JapaneseTokenizers/.travis.yml,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/blob/master/.travis.yml,https://travis-ci.org/Kensuke-Mitsuzawa/JapaneseTokenizers,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers.git
felixriese/susi,Applied,D:/PhD Work/repos/applied/felixriese/susi/.travis.yml,https://github.com/felixriese/susi/blob/master/.travis.yml,https://travis-ci.org/felixriese/susi,https://github.com/felixriese/susi.git
