name,num
python3pip pythonnumpy,"[9.491416089166243, 0.0008843089670544436, 0.008393344357694527]"
compilerclang ccompilerclang,"[9.284469272802571, 0.000878252056321194, 0.008154104230689798]"
dist xenial,"[7.241086147273563, 0.001104376723695846, 0.007996886995325355]"
ccompilegcc7 cxxcompileg7,"[10.344301733444297, 0.0007692276631227009, 0.007957123049053461]"
scan statusbugs,"[10.359528207668955, 0.0007611517821450348, 0.007885173357448982]"
usrlocaloptccachelibexec path,"[7.593205810443202, 0.0010236179139191846, 0.007772541491644901]"
osx env,"[3.2876328608303744, 0.0023541193049896833, 0.007739479985399245]"
mkdir build,"[6.019934152034697, 0.0012780081647156684, 0.007693524997351036]"
echo dumping,"[6.653506320711017, 0.0011548509798062596, 0.0076838082936202595]"
cd git,"[3.9638943917941276, 0.001926097613173377, 0.007634847526906004]"
then sudo,"[2.926338035682477, 0.002580243972364335, 0.007550666077670199]"
githubcom travisreposlug,"[8.684667252197478, 0.0008661382348546947, 0.007522122364118696]"
build cd,"[3.8141867415954316, 0.001966477018061708, 0.007500510569943086]"
pip install,"[4.961612478635182, 0.0015041328320903207, 0.007462924229224212]"
gcc7 ccompilegcc7,"[9.698780400475457, 0.0007692276631227009, 0.0074605701825979885]"
ctest outputonfailure,"[10.127469910589532, 0.0007308672284787867, 0.007401835865054877]"
env name,"[4.123949028942608, 0.0017766938150865534, 0.007326994733454529]"
cache directories,"[7.852374391943577, 0.0009267073421871908, 0.007276853002616791]"
website npm,"[8.080320987766214, 0.0008923848480321097, 0.00721075601671842]"
osximage xcode93,"[8.483320693300893, 0.0008499864728993624, 0.007210707834573]"
travispullrequest false,"[7.675183187873991, 0.0009125745504762751, 0.007004176847497171]"
ldlibrarypath usrlocallib,"[8.542496080886846, 0.0008116260382554482, 0.006933312250942882]"
outputonfailure j,"[9.399714949072866, 0.000724810317745537, 0.006813010378954978]"
pycompile mybotpy,"[10.61874090255034, 0.0006359756269912094, 0.006753260403356652]"
npm run,"[8.048918888627082, 0.000825758829966364, 0.006646465843966866]"
if clingbuildtimeout,"[5.738195302127199, 0.0011548509798062596, 0.006626760466981271]"
exec build,"[5.134267802629559, 0.0012820461052045016, 0.0065823680394381]"
linux then,"[3.254762190411789, 0.002000799512216789, 0.0065121266029575554]"
cxx compiler,"[4.575516304390252, 0.0014213550520692426, 0.006503433215070275]"
apt packages,"[5.643099544505446, 0.0011427371583397604, 0.0064485795377165495]"
ircuvtnl gitlama,"[10.703629800136852, 0.0005996341625917117, 0.0064182620918967525]"
libicudev libxml2dev,"[10.703629800136852, 0.0005996341625917117, 0.0064182620918967525]"
repositoryslug buildnumber,"[10.703629800136852, 0.0005996341625917117, 0.0064182620918967525]"
unix makefiles,"[10.70849555530867, 0.0005976151923472952, 0.0063995596310359466]"
enableall quiet,"[10.665283488487372, 0.0005996341625917117, 0.006395268333422335]"
quiet errorexitcode0,"[10.665283488487372, 0.0005996341625917117, 0.006395268333422335]"
g7 gcc7,"[8.299447801902488, 0.0007692276631227009, 0.006384164837866288]"
git lfs,"[7.1235330545875115, 0.0008843089670544436, 0.006299404157280467]"
deploy provider,"[9.228964128921362, 0.0006824119426127898, 0.00629795533952098]"
gcc services,"[5.472504279231931, 0.0011508130393174266, 0.006297829282260521]"
true then,"[3.549462469800442, 0.0017686179341088871, 0.006277642980535486]"
libxml2dev libbz2dev,"[10.462621700633058, 0.0005996341625917117, 0.006273745401972975]"
group edge,"[10.458517302300322, 0.0005996341625917117, 0.006271284264515782]"
m pycompile,"[9.857252989250064, 0.0006359756269912094, 0.006268972650249283]"
withclangurlhttp rootcernchgitclanggit,"[10.758077584159231, 0.0005774254899031298, 0.006211988219449023]"
errorexitcode0 scan,"[10.359528207668955, 0.0005996341625917117, 0.0062119270216507904]"
x86 microsoft,"[10.793827609108433, 0.0005632926981922141, 0.006080084277756304]"
microsoft visual,"[10.783522600716694, 0.0005632926981922141, 0.0060742795417744275]"
cmake python3pip,"[6.845672515538062, 0.0008843089670544436, 0.0060536895910084584]"
deploy none,"[7.841610233960747, 0.0007692276631227009, 0.006031983515388681]"
os windows,"[5.054956376709185, 0.0011911924442057572, 0.006021425841725693]"
cd website,"[5.553688932483908, 0.0010821680510072643, 0.006010024727966725]"
osx osximage,"[5.104523076381664, 0.001175040682250425, 0.005998022278234549]"
script cd,"[3.614019636671312, 0.001655555600421561, 0.005983210449524686]"
matrix fastfinish,"[7.371239650896406, 0.0008096070680110317, 0.0059678077213689]"
channels ircuvtnl,"[9.929264234165455, 0.0005996341625917117, 0.0059539260442056366]"
travisreposlug n,"[5.102024827284502, 0.0011568699500506762, 0.005902379207097932]"
files x86,"[10.430108887114567, 0.0005632926981922141, 0.005875204177461356]"
program files,"[10.430108887114567, 0.0005632926981922141, 0.005875204177461356]"
withclingurlhttps githubcom,"[10.10096529768224, 0.0005774254899031298, 0.005832554835508681]"
install pkgconfig,"[4.861142455426254, 0.0011992683251834235, 0.0058298141709970785]"
kit env,"[5.663953747457391, 0.0010256368841636012, 0.0058091598735889515]"
compiler g7,"[5.156422120245008, 0.0011245664261400115, 0.005798739195433229]"
linux addons,"[4.370552456700516, 0.0013264634505816652, 0.00579737809266314]"
buildurl skipjoin,"[9.62332817204599, 0.0005996341625917117, 0.005770476329790025]"
ldlibrarypath ldlibrarypath,"[7.02623945940821, 0.0008156639787442813, 0.0057310504330709685]"
generatorname unix,"[9.782496136752446, 0.000585501370880796, 0.005727664898704648]"
gitlama template,"[9.549442459429926, 0.0005996341625917117, 0.005726171932378]"
template repositoryslug,"[9.549442459429926, 0.0005996341625917117, 0.005726171932378]"
push verbose,"[9.915133905330567, 0.0005774254899031298, 0.005725251052740635]"
always template,"[8.540751499165882, 0.000668279150901874, 0.005707606159926483]"
ccompileclang50 cxxcompileclang50,"[10.929264234165455, 0.0005128184420818006, 0.005604728257665072]"
update sudo,"[4.388393365644578, 0.001275989194471252, 0.005599542515651812]"
email false,"[6.936057194803933, 0.000803550157277782, 0.005573469849772392]"
linux linuxdist,"[6.302549177212121, 0.0008843089670544436, 0.005573400752710284]"
travisosname windows,"[5.494734636109865, 0.001013523062697102, 0.005569040277097916]"
packages g5,"[7.4693347374598, 0.0007369241392120363, 0.005504333071889124]"
env matrixeval,"[5.324103744572767, 0.0010337127651412674, 0.005503594003701291]"
curl lo,"[9.529931635592487, 0.0005774254899031298, 0.005502825443425326]"
cppcheck enableall,"[9.118667299415698, 0.0005996341625917117, 0.005467864430037558]"
cd build,"[3.486321621700217, 0.0015667209096672334, 0.005462092982542709]"
ppa ubuntutoolchainrtest,"[7.981905621652565, 0.0006824119426127898, 0.005446947721023874]"
1604 g,"[7.0054191954312905, 0.000777303544100367, 0.005445337168517484]"
clang50 ccompileclang50,"[10.614168172760518, 0.0005128184420818006, 0.005443141186349281]"
message buildurl,"[9.056287579322099, 0.0005996341625917117, 0.005430459418816527]"
rawgithubusercontentcomgiovannibussimacportscimastermacportsci source,"[9.365279823423347, 0.0005774254899031298, 0.005407751290120123]"
source macportsci,"[9.365279823423347, 0.0005774254899031298, 0.005407751290120123]"
dos2unix fi,"[6.076581139055278, 0.0008843089670544436, 0.005373575190300487]"
build cmake,"[4.418863190469892, 0.0012073442061610897, 0.0053350888708323324]"
cpp matrix,"[5.643639218041013, 0.0009448780743869397, 0.005332550956877206]"
withcmakeflags clingbuildflags,"[8.950722662101626, 0.0005774254899031298, 0.005168375418151077]"
addaptrepository y,"[8.52851131768858, 0.0005996341625917117, 0.005113986742136127]"
1 then,"[4.419080540977394, 0.0011548509798062596, 0.005103379492590519]"
skipcleanup true,"[6.775203644186089, 0.0007490379606785356, 0.00507488472082293]"
pkgconfig autoconfarchive,"[8.394386964880606, 0.0005996341625917117, 0.005033561198156963]"
toolspackagingcptpy y,"[8.662920351118892, 0.0005774254899031298, 0.005002191027736619]"
osximage xcode94,"[8.483320693300897, 0.000589539311369629, 0.005001251039656335]"
script if,"[3.3417005913004942, 0.0014920190106238215, 0.004985880810033203]"
y ppa,"[8.296038889994698, 0.0005996341625917117, 0.004974588332630244]"
qq gcc,"[5.621992641134412, 0.0008843089670544436, 0.004971578505269255]"
javac mybotjava,"[11.130046361546189, 0.00044619242401605484, 0.0049661423654693655]"
set packagelock,"[11.117049021017316, 0.00044619242401605484, 0.004960343050593025]"
exec jekyll,"[7.797711043595658, 0.0006359756269912094, 0.004959154170047026]"
then export,"[3.1981501280225295, 0.0015485501774674844, 0.004952495948316946]"
fetch all,"[11.130046361546187, 0.0004421544835272218, 0.004921199900623488]"
chmod x,"[8.815973249988389, 0.0005572357874589645, 0.004912575796174446]"
env global,"[5.411130300910031, 0.0009065176397430255, 0.004905285068722929]"
make cxx,"[4.334471542043033, 0.0011306233368732611, 0.0049006546784468846]"
notifications irc,"[7.950779554820251, 0.0006137669543026274, 0.004879925751693625]"
openmpflag disableopenmp,"[8.081898565879548, 0.0005996341625917117, 0.004846182478702339]"
scanscanbuild openmpflag,"[8.081898565879548, 0.0005996341625917117, 0.004846182478702339]"
