name,num
compiler gcc services,"[11.480372668203202, 0.0011508130393174266, 0.013211762562791642]"
ctest outputonfailure j,"[19.521868683852677, 0.0006702981211462905, 0.013085471900051058]"
m pycompile mybotpy,"[20.475993891800407, 0.0006359756269912094, 0.013022233053605937]"
os osx osximage,"[11.086853639558818, 0.0011730217120060084, 0.01300512003703533]"
enableall quiet errorexitcode0,"[21.368913288624224, 0.0005996341625917117, 0.012813530425319087]"
ubuntu 1604 g,"[16.361125692147837, 0.000777303544100367, 0.012717560985978083]"
libicudev libxml2dev libbz2dev,"[21.16625150076991, 0.0005996341625917117, 0.012692007493869726]"
quiet errorexitcode0 scan,"[21.024811696156323, 0.0005996341625917117, 0.012607195355073124]"
notifications email false,"[15.627593922952766, 0.000803550157277782, 0.012557555554662005]"
fastfinish true include,"[14.304732529140303, 0.0008742141158323608, 0.012505399100180802]"
language cpp matrix,"[13.233474244144972, 0.0009448780743869397, 0.012504019661256863]"
cd website npm,"[13.940785789904936, 0.0008923848480321097, 0.012440546008572511]"
errorexitcode0 scan statusbugs,"[20.71905641533791, 0.0005996341625917117, 0.012423854043301581]"
cd build cmake,"[10.279327992608614, 0.0012073442061610897, 0.012410687095105516]"
aptget update sudo,"[11.224514448682278, 0.001104376723695846, 0.01239609249191242]"
channels ircuvtnl gitlama,"[20.632894034302307, 0.0005996341625917117, 0.012372188136102389]"
nfin if clingbuildtimeout,"[14.124762762548507, 0.0008661382348546947, 0.012233997086895085]"
cpp matrix include,"[13.736285227244622, 0.0008863279372988601, 0.012174853351612528]"
x86 microsoft visual,"[21.57735020982512, 0.0005632926981922141, 0.012154363819530728]"
1 then n,"[10.519845922489296, 0.0011548509798062596, 0.012148854370997648]"
gitlama template repositoryslug,"[20.253072259566782, 0.0005996341625917117, 0.012144434024274755]"
ircuvtnl gitlama template,"[20.253072259566782, 0.0005996341625917117, 0.012144434024274755]"
template repositoryslug buildnumber,"[20.253072259566782, 0.0005996341625917117, 0.012144434024274755]"
update sudo aptget,"[11.197895703875133, 0.0010841870212516809, 0.012140613187471375]"
onfailure always template,"[18.085835359990917, 0.000668279150901874, 0.01208638669772582]"
generatorname unix makefiles,"[20.49099169206112, 0.000585501370880796, 0.011997503726408787]"
files x86 microsoft,"[21.223936496222997, 0.0005632926981922141, 0.011955288455217658]"
program files x86,"[21.223936496222997, 0.0005632926981922141, 0.011955288455217658]"
qq gcc g,"[13.469149752648967, 0.0008843089670544436, 0.011910889904866622]"
irc channels ircuvtnl,"[19.858528468330906, 0.0005996341625917117, 0.011907852088411271]"
brew install ccache,"[9.847884861720871, 0.0012073442061610897, 0.011889786730740197]"
cppcheck enableall quiet,"[19.783950787903066, 0.0005996341625917117, 0.011863132763459891]"
message buildurl skipjoin,"[19.75991737945895, 0.0005996341625917117, 0.011848721510713279]"
cmake env matrixeval,"[12.369538230035182, 0.0009489160148757728, 0.011737652923098505]"
make cxx compiler,"[10.342339931014301, 0.0011306233368732611, 0.011693290883880963]"
rawgithubusercontentcomgiovannibussimacportscimastermacportsci source macportsci,"[20.123357407582574, 0.0005774254899031298, 0.011619739509569144]"
true then sudo,"[8.7416191192439, 0.0013264634505816652, 0.011595438260582921]"
linux dist trusty,"[12.591204534301305, 0.0009186314612095247, 0.0115666766197332]"
travisosname windows then,"[11.41215532306066, 0.001013523062697102, 0.011566482615003475]"
travisosname linux linuxdist,"[12.96016657959214, 0.0008843089670544436, 0.011460791520852647]"
matrix fastfinish true,"[14.146443295082491, 0.0008096070680110317, 0.011453060478916054]"
true language cpp,"[11.886600388621403, 0.0009549729256090224, 0.011351381548667123]"
addaptrepository y ppa,"[18.86525965670124, 0.0005996341625917117, 0.011312254176321252]"
scanscanbuild openmpflag disableopenmp,"[18.7855283660164, 0.0005996341625917117, 0.01126444457059909]"
include os linux,"[10.590519020760546, 0.0010599593783186824, 0.011225519957317529]"
bundle exec jekyll,"[17.64957077407551, 0.0006359756269912094, 0.011224696839168397]"
then brew install,"[8.068454693662346, 0.0013829946174253283, 0.011158629412275151]"
popd sudo ldconfig,"[16.02928804277275, 0.000694525764079289, 0.011132753525553755]"
clang50 ccompileclang50 cxxcompileclang50,"[21.54343240692597, 0.0005128184420818006, 0.011047869444014351]"
compiler g7 gcc7,"[14.307316190873749, 0.0007692276631227009, 0.011005583399063396]"
notifications irc channels,"[17.880043788985706, 0.0006137669543026274, 0.010974180019163367]"
withclingurlhttps githubcom travisreposlug,"[18.857782335635548, 0.0005774254899031298, 0.010888964203640944]"
npm install cd,"[9.844273850828749, 0.0010821680510072643, 0.010653158646733123]"
lo https rawgithubusercontentcomgiovannibussimacportscimastermacportsci,"[18.140751128476044, 0.0005774254899031298, 0.010474932107571035]"
dos2unix fi if,"[11.814776441182474, 0.0008843089670544436, 0.010447912750681248]"
openmpflag cppcheck enableall,"[17.200565865295246, 0.0005996341625917117, 0.010314046908739896]"
