ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,JobFailCount,JobErrorCount
Axelrod-Python/axelrod-dojo,Applied,2017-08-19,2018-08-20,149,813,41,6
t-sakai-kure/pywsl,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
HealthCatalyst/healthcareai-py,Applied,2018-04-16,2019-04-17,899,727,4,0
BerkeleyAutomation/gqcnn,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
triagemd/keras-eval,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
theislab/scanpy,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-Audio-Classifier,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
NatLibFi/Annif,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
r9y9/deepvoice3_pytorch,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
glm-tools/pyglmnet,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
jeffkinnison/shadho,Applied,2018-02-08,2019-02-09,100,1356,57,103
vene/sparse-structured-attention,Applied,2018-02-11,2019-02-12,38,1030,29,9
ubclaunchpad/minutes,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
guillaumegenthial/tf_metrics,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
makcedward/nlpaug,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
NickleDave/hybrid-vocal-classifier,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
albarji/proxTV,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
paris-saclay-cds/ramp-board,Applied,2018-04-03,2019-04-04,1792,714,698,156
NLPatVCU/medaCy,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
abdullahselek/koolsla,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
abdullahselek/spampy,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
persephone-tools/persephone,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
locuslab/qpth,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
sammous/spacy-lefff,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
toodef/neural-pipeline,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
intuit/foremast-brain,Applied,2018-06-07,2019-06-08,505,314,72,47
ErikGartner/hyperdock,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
zvtvz/zvt,Applied,2018-07-07,2019-07-08,936,715,14,7
vi3k6i5/flashtext,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
wittawatj/kernel-gof,Applied,2018-07-11,2019-07-12,24,740,0,0
titu1994/tfdiffeq,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
ncbi-nlp/NegBio,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
atomistic-machine-learning/schnetpack,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
nok/sklearn-porter,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
benfred/implicit,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
mila-iqia/babyai,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
SuperKogito/Voice-based-gender-recognition,Applied,2018-04-08,2019-04-09,13,26,0,0
duketemon/pyuplift,Applied,2018-06-22,2019-06-23,55,174,7,1
proycon/gecco,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
pathwayforte/pathway-forte,Applied,2018-07-21,2019-07-22,170,701,579,15
huggingface/neuralcoref,Applied,2018-04-18,2019-04-19,131,984,5,2
indix/whatthelang,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
ParrotPrediction/pyalcs,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-Image-Resolution-Enhancer,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
raamana/graynet,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
ikegami-yukino/oseti,Applied,2018-02-12,2019-02-13,12,708,0,0
Keep-Current/Engine,Applied,2018-05-07,2019-05-08,101,432,15,6
a-slide/pycoQC,Applied,2018-07-23,2019-07-24,110,540,3,20
samuelstjean/nlsam,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
LexPredict/lexpredict-lexnlp,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
Tiiiger/bert_score,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
ibrahimsharaf/doc2vec,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
DongjunLee/kino-bot,Applied,2018-01-13,2019-01-14,423,1514,14,0
dlebech/lyrics-generator,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
MaxHalford/starboost,Applied,2018-02-11,2019-02-12,12,71,0,0
DistrictDataLabs/yellowbrick,Applied,2017-05-15,2018-05-16,58,23,15,44
howl-anderson/seq2annotation,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
databricks/spark-sklearn,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
beringresearch/ivis,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
koshort/pyeunjeon,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
ugnelis/tensorflow-rnn-ctc,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
platisd/bad-commit-message-blocker,Applied,2018-06-13,2019-06-14,42,43,5,6
PPPLDeepLearning/plasma-python,Applied,2017-03-13,2018-03-14,468,843,44,37
MathBunny/strava-wind-analysis-ml,Applied,2018-05-05,2019-05-06,37,408,18,6
chakki-works/chariot,Applied,2018-02-19,2019-02-20,60,858,11,1
scikit-learn-contrib/stability-selection,Tool,2017-08-12,2018-08-13,86,895,11,6
HoloClean/holoclean,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
cjekel/tindetheus,Applied,2018-07-28,2019-07-29,419,490,0,0
mholtzscher/spacy_readability,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
domainadaptation/salad,Applied,2018-02-05,2019-02-06,7,449,0,0
bigmlcom/python,Tool,2018-05-24,2019-05-25,409,1511,136,0
ssydasheng/GPflow-Slim,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IlyaGusev/rnnmorph,Applied,2017-06-11,2018-06-12,78,1343,22,1
cbg-ethz/pybda,Applied,2018-08-09,2019-08-10,135,253,12,14
fdtomasi/regain,Applied,2018-08-01,2019-08-02,265,1279,17,20
NRCan/geo-deep-learning,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
RandolphVI/Next-Basket-Recommendation,Applied,2018-04-04,2019-04-05,11,532,0,0
akshaynagpal/w2n,Applied,2016-06-02,2017-06-03,53,1457,0,0
aleju/imgaug,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
ELS-RD/anonymisation,Applied,2018-07-23,2019-07-24,35,587,1,0
textpipe/textpipe,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
parlance/ctcdecode,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
wq2012/SpectralCluster,Tool,2018-01-29,2019-01-30,45,527,5,0
jmschrei/apricot,Tool,2018-07-25,2019-07-26,141,621,0,4
raphaelvallat/entropy,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
vita-epfl/openpifpaf,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
vecto-ai/vecto,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
koalanlp/python-support,Tool,2018-07-15,2019-07-16,86,803,51,11
bmcfee/pumpp,Applied,2018-07-13,2019-07-14,375,1167,20,5
theislab/scgen,Applied,2018-07-31,2019-08-01,253,526,4,168
namisan/mt-dnn,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
adhaamehab/arabicnlp,Tool,2018-06-12,2019-06-13,25,37,0,0
clusterking/clusterking,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
datarobot/pic2vec,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
Liebeck/spacy-sentiws,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
i3thuan5/tai5-uan5_gian5-gi2_kang1-ku7,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
pycroscopy/pycroscopy,Applied,2018-08-06,2019-08-07,408,731,16,2
IBM/MAX-Object-Detector,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
sinhrks/daskperiment,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
nature1995/Face-Recognition-System,Applied,2018-07-06,2019-07-07,128,832,0,0
sorenlind/lemmy,Tool,2018-03-19,2019-03-20,90,723,6,6
Zenohm/Friday,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
okfn-brasil/serenata-de-amor,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
VSainteuf/izitorch,Tool,2018-02-13,2019-02-14,20,340,0,0
CyberZHG/keras-gpt-2,Applied,2018-05-11,2019-05-12,160,847,1,13
NTMC-Community/MatchZoo,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
bfelbo/DeepMoji,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
datmo/datmo,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
trevorstephens/gplearn,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
sorgerlab/indra,Tool,2018-08-07,2019-08-08,5419,1584,800,405
pavelkomarov/projection-pursuit,Tool,2018-06-21,2019-06-22,169,1212,11,4
ealcobaca/pymfe,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
lucasmaystre/choix,Applied,2016-07-06,2017-07-07,65,1477,3,4
dmbee/seglearn,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
mackelab/delfi,Applied,2018-07-12,2019-07-13,263,946,11,3
elitcloud/elit,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
undertheseanlp/languageflow,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
jonasrothfuss/fishervector,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
kLabUM/rrcf,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-Text-Sentiment-Classifier,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
jawahar273/practNLPTools-lite,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
tensorly/tensorly,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
henrysky/astroNN,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
NeuroTechX/moabb,Applied,2018-01-29,2019-01-30,515,1086,88,9
ScottfreeLLC/AlphaPy,Applied,2018-03-17,2019-03-18,83,1359,12,4
vkuznet/MLaaS4HEP,Applied,2018-06-11,2019-06-12,79,657,4,4
hawk31/pyGPGO,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
mir-am/LightTwinSVM,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
JonathanRaiman/pytreebank,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
iandanforth/pymuscle,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
chainer/onnx-chainer,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
hachmannlab/chemml,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
Cloud-CV/EvalAI,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
Legilibre/legi.py,Applied,2018-02-04,2019-02-05,169,1623,20,2
oseiskar/autosubsync,Applied,2017-10-21,2018-10-22,40,866,24,31
maxrousseau/pfla,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
apple/turicreate,Applied,2018-08-12,2019-08-13,4559,969,1275,852
DrSleep/light-weight-refinenet,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
mozilla/TTS,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
sethah/deeptennis,Applied,2018-02-22,2019-02-23,29,450,0,8
scikit-garden/scikit-garden,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
netrack/keras-metrics,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
chakki-works/chazutsu,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
src-d/ml-core,Tool,2018-08-01,2019-08-02,195,183,181,54
dirty-cat/dirty_cat,Applied,2017-12-21,2018-12-22,515,1113,25,13
Hananel-Hazan/bindsnet,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
OFAI/hub-toolbox-python3,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
sintefneodroid/agent,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
pescadores/pescador,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
Epistimio/orion,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
CyberZHG/wiki-dump-reader,Applied,2018-03-26,2019-03-27,30,244,5,4
BLKSerene/Wordless,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
MagNet-DL/magnet,Applied,2018-01-10,2019-01-11,39,132,10,4
daniel-cortez-stevenson/crypto-predict,Applied,2018-03-14,2019-03-15,136,1198,18,17
mikgroup/sigpy,Applied,2018-06-13,2019-06-14,475,1271,54,8
maximecb/gym-miniworld,Applied,2018-07-16,2019-07-17,374,932,18,8
cgre-aachen/bayseg,Tool,2016-12-01,2017-12-02,20,720,0,0
leopepe/GOApy,Applied,2018-01-08,2019-01-09,167,1007,14,0
AmeyaWagh/Traffic_sign_detection_YOLO,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
alvations/sacremoses,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
imgarylai/bert-embedding,Applied,2018-03-19,2019-03-20,66,276,11,3
braincreators/octconv,Applied,2018-05-08,2019-05-09,42,252,1,0
alvations/pywsd,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
geomstats/geomstats,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
kpe/bert-for-tf2,Tool,2018-08-05,2019-08-06,227,542,28,24
