ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,JobFailCount,JobErrorCount
fastmonkeys/stellar,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
flaskbb/flaskbb,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
flexxui/flexx,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
floooh/oryol,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
flyimg/flyimg,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
fossasia/meilix-systemlock,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
fossasia/open-event,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
fossasia/open-event-droidgen,NonML,2018-09-08,2019-09-09,464,577,0,0
getsentry/milksnake,NonML,2017-03-23,2018-03-24,18,1187,0,0
getsentry/raven-python,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
goldsmith/Wikipedia,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
google-research/batch-ppo,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
google/vim-maktaba,NonML,2019-04-19,2020-04-19,223,1823,3,5
googlesamples/assistant-sdk-python,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
grangier/python-goose,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
greg7mdp/sparsepp,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
guyzmo/git-repo,NonML,2018-08-27,2019-08-28,471,1081,9,39
hellysmile/fake-useragent,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
intelxed/xed,NonML,2019-03-24,2020-03-24,35,509,2,0
ionelmc/pytest-benchmark,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
jacksu/utils4s,NonML,2018-02-09,2019-02-10,11,753,0,0
jameysharp/corrode,NonML,2018-03-10,2019-03-11,141,950,0,0
jazzband/django-admin2,NonML,2017-11-02,2018-11-03,135,1546,673,1
jazzband/django-hosts,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
jborg/attic,NonML,2016-03-10,2017-03-11,4,1490,0,0
jdf/processing.py,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
jek/blinker,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
jorgebastida/gordon,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
kdchang/reactjs101,NonML,2017-05-26,2018-05-27,44,574,14,0
kdzwinel/betwixt,NonML,2018-01-08,2019-01-09,12,818,0,0
keepassx/keepassx,NonML,2017-07-22,2018-07-23,152,1686,13,1
khamidou/kite,NonML,2018-04-17,2019-04-18,1,0,0,0
kieferk/dfply,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
kootenpv/whereami,NonML,2018-02-14,2019-02-15,52,865,0,0
kootenpv/yagmail,NonML,2019-06-05,2020-06-05,105,1741,12,0
krallin/tini,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
lambtron/emojipacks,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
libfann/fann,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
loregr/LGButton,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
ma6174/vim,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
maciejkula/glove-python,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
mafintosh/turbo-net,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
mailgun/flanker,NonML,2018-10-24,2019-10-25,407,1455,16,4
mantl/mantl,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
martinrusev/imbox,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
matt-42/vpp,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
maxbbraun/trump2cash,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
maxpumperla/hyperas,NonML,2017-06-13,2018-06-14,136,1571,12,3
mbr/flask-bootstrap,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
mediadrop/mediadrop,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
mewwts/addict,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
microsoft/Multiverso,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
mila-iqia/blocks,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
mila-iqia/fuel,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
mirumee/satchless,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
miso-belica/sumy,NonML,2019-01-25,2020-01-26,97,1558,14,14
mitsuhiko/pipsi,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
mjhea0/flaskr-tdd,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
mpeterv/luacheck,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
mpld3/mpld3,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
mwrlabs/drozer,NonML,2018-05-12,2019-05-13,233,1720,0,3
mwrlabs/needle,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
nerevu/riko,NonML,2019-06-04,2020-06-04,228,1485,81,4
nose-devs/nose,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
numenta/nupic,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
nvdv/vprof,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
oclint/oclint,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
ofek/hatch,NonML,2018-10-20,2019-10-21,374,1087,75,18
olgabot/prettyplotlib,NonML,2018-01-31,2019-02-01,1,0,0,0
onejgordon/flow-dashboard,NonML,2018-12-22,2019-12-23,476,1295,0,3
openai/roboschool,NonML,2017-12-04,2018-12-05,1,0,0,0
peterbraden/node-opencv,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
phonegap/phonegap-app-desktop,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
pimusicbox/pimusicbox,NonML,2017-05-21,2018-05-22,1,0,0,0
pixie-lang/pixie,NonML,2015-08-15,2016-08-15,19,1536,0,0
pndurette/gTTS,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
ppwwyyxx/OpenPano,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
processone/tsung,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
prompt-toolkit/pyvim,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
push-things/django-th,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
pwaller/pyfiglet,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
pybuilder/pybuilder,NonML,2019-07-03,2020-07-03,733,1666,620,94
pymc-devs/pymc,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
python-security/pyt,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
pythonprofilers/memory_profiler,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
rcaloras/bashhub-client,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
retspen/webvirtmgr,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
rholder/retrying,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
riptano/ccm,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
rmax/scrapy-redis,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
rs/pushd,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
ry/v8worker2,NonML,2017-05-29,2018-05-30,41,15,8,9
ryanmcgrath/twython,NonML,2018-02-12,2019-02-13,92,1634,4,9
saghul/pyuv,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
samgiles/slumber,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
satori-com/tcpkali,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
scanmem/scanmem,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
scoder/lupa,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
sdiehl/write-you-a-haskell,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
seb-m/pyinotify,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
sebleier/django-redis-cache,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
selwin/python-user-agents,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
serverdensity/python-daemon,NonML,2018-12-05,2019-12-06,19,1092,0,0
sfzhang15/RefineDet,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
simplejson/simplejson,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
snare/voltron,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
