ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,JobFailCount,JobErrorCount
skggm/skggm,Applied,2020-03-24,2021-03-25,126,1460,13,11
kiudee/cs-ranking,Applied,2019-08-22,2020-08-22,905,921,250,246
pyro-ppl/pyro,Applied,2018-05-06,2019-05-07,104,21,40,1
georgymh/decentralized-ml,Applied,2018-02-02,2019-02-03,856,218,322,55
sbl-sdsc/mmtf-pyspark,Applied,2017-10-25,2018-10-26,614,309,138,48
thuijskens/scikit-hyperband,Tool,2018-11-02,2019-11-03,23,437,0,0
MycroftAI/mycroft-core,Applied,2020-01-31,2021-01-31,705,268,504,108
triagemd/keras-eval,Applied,2018-05-17,2019-05-18,758,444,321,40
theislab/scanpy,Applied,2020-05-17,2021-05-18,218,74,249,7
NatLibFi/Annif,Tool,2019-05-15,2020-05-15,746,313,154,60
r9y9/deepvoice3_pytorch,Applied,2019-11-01,2020-11-01,229,1044,6,0
glm-tools/pyglmnet,Applied,2019-10-15,2020-10-15,61,195,155,1
abdullahselek/spampy,Applied,2020-06-09,2021-06-10,227,1099,4,10
persephone-tools/persephone,Applied,2019-11-16,2020-11-16,550,1006,41,5
locuslab/qpth,Tool,2019-07-10,2020-07-10,96,1188,0,1
sammous/spacy-lefff,Tool,2020-06-14,2021-06-15,355,1186,104,6
toodef/neural-pipeline,Applied,2019-06-02,2020-06-02,212,534,42,0
zvtvz/zvt,Applied,2020-06-11,2021-06-12,936,715,83,8
vi3k6i5/flashtext,Applied,2020-06-13,2021-06-14,144,1369,14,0
wittawatj/kernel-gof,Applied,2018-07-11,2019-07-12,24,740,0,0
ParrotPrediction/pyalcs,Applied,2020-06-12,2021-06-13,568,1612,56,29
raamana/graynet,Applied,2020-04-01,2021-04-02,258,1341,10,0
ikegami-yukino/oseti,Applied,2020-01-22,2021-01-22,12,708,0,0
Keep-Current/Engine,Applied,2018-05-07,2019-05-08,101,432,15,6
ibrahimsharaf/doc2vec,Applied,2019-09-28,2020-09-28,4,179,0,0
DongjunLee/kino-bot,Applied,2019-11-09,2020-11-09,423,1514,36,0
MaxHalford/starboost,Applied,2018-02-11,2019-02-12,12,71,0,0
beringresearch/ivis,Applied,2020-06-12,2021-06-13,281,682,18,17
koshort/pyeunjeon,Applied,2019-07-20,2020-07-20,19,795,0,0
ugnelis/tensorflow-rnn-ctc,Applied,2018-05-01,2019-05-02,47,575,0,0
domainadaptation/salad,Applied,2019-04-30,2020-04-30,7,449,0,0
bigmlcom/python,Tool,2020-06-14,2021-06-15,409,1511,129,19
NRCan/geo-deep-learning,Applied,2020-05-31,2021-06-01,574,969,197,7
RandolphVI/Next-Basket-Recommendation,Applied,2019-09-18,2020-09-18,12,532,0,0
akshaynagpal/w2n,Applied,2020-05-13,2021-05-14,53,1457,7,0
aleju/imgaug,Applied,2020-04-15,2021-04-16,853,530,31,62
jmschrei/apricot,Tool,2020-02-19,2021-02-19,141,621,40,41
bmcfee/pumpp,Applied,2018-10-08,2019-10-09,375,1167,40,7
namisan/mt-dnn,Applied,2020-02-17,2021-02-17,242,560,24,3
pycroscopy/pycroscopy,Applied,2020-02-14,2021-02-14,408,731,72,50
NTMC-Community/MatchZoo,Applied,2020-06-14,2021-06-15,303,502,67,285
bfelbo/DeepMoji,Applied,2019-09-13,2020-09-13,86,1038,55,61
trevorstephens/gplearn,Tool,2020-06-12,2021-06-13,475,1754,108,45
sorgerlab/indra,Tool,2019-03-25,2020-03-25,630,191,265,212
pavelkomarov/projection-pursuit,Tool,2020-05-26,2021-05-27,169,1212,1,0
mackelab/delfi,Applied,2019-07-04,2020-07-04,263,946,9,4
elitcloud/elit,Tool,2019-03-12,2020-03-12,837,967,115,1
undertheseanlp/languageflow,Applied,2018-08-16,2019-08-17,307,601,46,11
jonasrothfuss/fishervector,Applied,2018-05-22,2019-05-23,11,446,0,0
kLabUM/rrcf,Applied,2020-01-14,2021-01-14,283,786,5,0
NeuroTechX/moabb,Applied,2020-03-18,2021-03-19,515,1086,55,20
mir-am/LightTwinSVM,Tool,2018-12-29,2019-12-30,121,582,8,1
JonathanRaiman/pytreebank,Applied,2019-02-18,2020-02-19,6,1157,0,0
iandanforth/pymuscle,Applied,2018-02-18,2019-02-19,39,219,17,2
chainer/onnx-chainer,Applied,2018-11-06,2019-11-07,785,715,346,77
hachmannlab/chemml,Applied,2020-05-04,2021-05-05,127,944,4,0
maxrousseau/pfla,Applied,2019-07-16,2020-07-16,150,739,18,0
sintefneodroid/agent,Applied,2019-11-18,2020-11-18,180,946,20,2
pescadores/pescador,Applied,2019-12-11,2020-12-11,448,1596,0,0
Epistimio/orion,Applied,2019-04-02,2020-04-02,388,64,258,6
CyberZHG/wiki-dump-reader,Applied,2018-03-26,2019-03-27,30,244,5,4
BLKSerene/Wordless,Applied,2018-11-13,2019-11-14,226,75,73,15
MagNet-DL/magnet,Applied,2018-01-10,2019-01-11,39,132,10,4
kymatio/kymatio,Applied,2020-02-13,2021-02-13,780,386,122,210
EducationalTestingService/rsmtool,Tool,2019-10-30,2020-10-30,627,265,195,19
bigartm/bigartm,Applied,2019-11-10,2020-11-10,313,937,94,160
fcurella/django-recommends,Applied,2020-02-17,2021-02-17,73,1650,65,35
astorfi/3D-convolutional-speaker-recognition,Applied,2019-03-04,2020-03-04,42,962,0,4
guokr/Caver,Tool,2018-06-11,2019-06-12,91,320,3,2
chainer/chainercv,Tool,2019-02-03,2020-02-04,744,352,752,65
onnx/onnx-tensorflow,Tool,2019-11-14,2020-11-14,479,112,111,24
PetrochukM/PyTorch-NLP,Tool,2020-04-08,2021-04-09,484,1135,81,2
clips/pattern,Tool,2020-05-29,2021-05-30,254,1454,19,9
arthurpaulino/miraiml,Tool,2018-10-24,2019-10-25,75,38,4,2
fukatani/stacked_generalization,Tool,2018-05-02,2019-05-03,49,1015,24,0
cltk/cltk,Tool,2020-06-13,2021-06-14,640,834,0,6
kermitt2/delft,Tool,2020-06-09,2021-06-10,461,1006,5,2
ecohealthalliance/EpiTator,Tool,2019-05-05,2020-05-05,453,1089,16,0
Jopepato/SMiLE,Tool,2020-04-20,2021-04-21,113,903,0,0
NIHOPA/NLPre,Tool,2018-11-15,2019-11-16,437,954,35,3
biolab/orange3-educational,Tool,2020-02-13,2021-02-13,495,1674,50,5
chainer/chainer,Tool,2020-06-10,2021-06-11,1276,612,34,16
raamana/neuropredict,Tool,2019-07-14,2020-07-14,301,1067,156,0
MaxHalford/prince,Tool,2020-04-15,2021-04-16,211,1634,3,3
explosion/spaCy,Tool,2020-03-04,2021-03-05,3,0,0,0
gunthercox/ChatterBot,Tool,2020-06-03,2021-06-04,743,972,47,0
vertexclique/orkhon,Tool,2019-11-18,2020-11-18,30,540,0,17
openopt/copt,Tool,2020-05-26,2021-05-27,943,1662,58,23
bamos/block,Tool,2018-02-14,2019-02-15,55,737,2,1
GRAAL-Research/poutyne,Tool,2019-10-29,2020-10-29,43,40,7,4
lai-bluejay/diego,Tool,2020-02-04,2021-02-04,78,682,0,15
funkey/gunpowder,Tool,2020-05-02,2021-05-03,911,1397,124,106
scikit-learn-contrib/imbalanced-learn,Tool,2020-06-15,2021-06-16,50,49,50,0
scikit-learn-contrib/polylearn,Tool,2019-08-08,2020-08-08,72,1480,0,0
nschaetti/EchoTorch,Tool,2020-06-13,2021-06-14,291,1151,249,237
onnx/onnx-caffe2,Tool,2017-03-02,2018-03-03,675,176,311,93
oracle/Skater,Tool,2017-12-14,2018-12-15,489,430,289,129
undertheseanlp/underthesea,Tool,2019-05-01,2020-05-01,753,1154,46,2
crcollins/molml,Tool,2018-07-31,2019-08-01,187,1091,10,7
autonomio/kerasplotlib,Tool,2019-11-20,2020-11-20,34,843,1,8
thu-ml/zhusuan,Tool,2019-01-09,2020-01-10,428,868,57,14
EducationalTestingService/skll,Tool,2019-10-29,2020-10-29,857,695,56,0
dkpro/dkpro-cassis,Tool,2019-11-23,2020-11-23,364,788,6,8
skorch-dev/skorch,Tool,2019-12-14,2020-12-14,722,732,402,78
mdbloice/Augmentor,Tool,2019-10-21,2020-10-21,207,1230,18,3
tensorflow/tensor2tensor,Tool,2020-06-14,2021-06-15,821,862,137,97
nilearn/nilearn,Tool,2019-03-26,2020-03-26,167,30,187,7
J535D165/recordlinkage,Tool,2019-02-24,2020-02-25,559,1233,443,240
allenai/allennlp,Tool,2017-01-17,2018-01-18,904,70,244,255
annoviko/pyclustering,Tool,2020-02-14,2021-02-14,361,671,49,83
awslabs/sockeye,Tool,2019-06-04,2020-06-04,984,326,784,278
medtagger/MedTagger,Tool,2018-01-31,2019-02-01,564,124,195,31
microsoft/nni,Tool,2017-10-16,2018-10-17,520,35,6,1
pytorch/text,Tool,2019-05-14,2020-05-14,979,319,866,469
pytorch/translate,Tool,2017-05-23,2018-05-24,114,23,99,1
usnistgov/jarvis,Tool,2020-06-15,2021-06-16,150,110,6,14
wmkouw/libTLDA,Tool,2018-01-21,2019-01-22,58,350,69,26
Acellera/moleculekit,Applied,2019-12-11,2020-12-11,354,623,50,10
DanielJDufour/language-detector,Applied,2019-06-08,2020-06-08,32,1236,16,0
HazyResearch/fonduer,Applied,2019-04-03,2020-04-03,160,145,50,25
IDSIA/sacred,Applied,2018-08-08,2019-08-09,724,1100,520,19
LanguageMachines/PICCL,Applied,2020-01-13,2021-01-13,482,1380,40,16
X-DataInitiative/tick,Applied,2019-08-12,2020-08-12,769,780,41,3
brainiak/brainiak,Applied,2020-05-24,2021-05-25,547,1132,228,41
medipixel/rl_algorithms,Tool,2019-03-26,2020-03-26,944,471,12,0
mhmoodlan/cyclic-learning-rate,Applied,2017-08-09,2018-08-10,13,8,0,0
mne-tools/mne-python,Tool,2019-11-16,2020-11-16,965,64,211,108
moe-serifu-circle/moe-serifu-agent,Applied,2017-10-23,2018-10-24,184,628,0,3
moebg/retailbox,Applied,2017-07-07,2018-07-08,4,0,0,0
omnisci/pymapd,Applied,2018-07-15,2019-07-16,951,753,607,152
tzutalin/labelImg,Applied,2020-06-06,2021-06-07,659,1734,0,5
openml/automlbenchmark,Tool,2020-06-15,2021-06-16,112,27,0,0
felixgwu/img_classification_pk_pytorch,Applied,2019-01-14,2020-01-15,1,0,0,0
,,,,,,34967,10983
