ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,BuildTotalCount,BuildFailCount,BuildErrorCount,BuildCanceledCount,BuildPassedCount
pandoraboxchain/pyrrha-pynode,Applied,2018-01-24,2019-01-25,110,273,110,28,6,0,76
marl/openl3,Applied,2020-06-09,2021-06-10,314,950,31,5,6,0,18
jcreinhold/synthtorch,Applied,2019-01-04,2020-01-05,285,427,249,9,1,1,235
miguelvr/dropblock,Applied,2019-07-30,2020-07-30,73,634,3,0,0,0,2
CyberZHG/keras-pos-embd,Applied,2020-06-03,2021-06-04,152,988,54,8,0,0,45
polyaxon/polyaxon-schemas,Tool,2019-07-02,2020-07-02,127,309,103,65,12,0,10
arm61/pylj,Applied,2020-04-08,2021-04-09,378,1058,10,0,6,0,3
lopuhin/transformer-lm,Applied,2020-02-28,2021-02-28,104,710,25,2,2,0,21
philgooch/abbreviation-extraction,Applied,2018-12-30,2019-12-31,78,796,33,0,2,0,28
soaxelbrooke/python-bpe,Applied,2019-01-21,2020-01-22,74,851,18,7,0,0,9
jerrygaoLondon/jgtextrank,Tool,2020-06-01,2021-06-02,68,1247,14,0,11,0,2
OpenNMT/OpenNMT-py,Applied,2019-10-22,2020-10-22,859,620,393,98,23,0,271
rgal/gym-2048,Applied,2020-05-30,2021-05-31,303,1647,11,0,5,0,5
HDI-Project/ATM,Applied,2019-02-21,2020-02-22,153,300,153,36,2,1,114
DrSleep/DenseTorch,Applied,2019-07-22,2020-07-22,18,25,0,0,0,0,0
Mogeng/IOHMM,Applied,2020-02-06,2021-02-06,92,1295,8,3,2,0,2
amoussawi/recoder,Applied,2020-04-11,2021-04-12,34,888,7,0,1,0,5
UGentBiomath/wwdata,Applied,2020-06-14,2021-06-15,503,50,512,0,0,1,147
skggm/skggm,Applied,2020-03-24,2021-03-25,126,1460,25,13,11,0,0
IBM/MAX-ResNet-50,Applied,2020-01-02,2021-01-02,431,1113,25,0,2,0,1
IBM/MAX-Image-Caption-Generator,Applied,2018-10-03,2019-10-04,132,411,25,10,3,0,12
kiudee/cs-ranking,Applied,2019-08-22,2020-08-22,905,921,474,96,91,10,243
IlyaGusev/summarus,Applied,2020-05-23,2021-05-24,131,765,45,5,1,0,36
msuzen/bristol,Applied,2018-12-15,2019-12-16,56,956,17,2,0,0,14
scikit-learn-contrib/lightning,Applied,2020-05-20,2021-05-21,165,1742,89,5,34,0,46
pyro-ppl/pyro,Applied,2018-05-06,2019-05-07,104,21,100,34,1,19,44
jkoutsikakis/pytorch-wrapper,Applied,2019-11-09,2020-11-09,42,273,42,2,6,0,34
georgymh/decentralized-ml,Applied,2018-02-02,2019-02-03,856,218,856,320,55,3,462
sbl-sdsc/mmtf-pyspark,Applied,2017-10-25,2018-10-26,614,309,614,138,48,0,425
thuijskens/scikit-hyperband,Tool,2018-11-02,2019-11-03,23,437,0,0,0,0,0
jungtaekkim/bayeso,Applied,2020-04-19,2021-04-20,392,1067,124,14,2,0,105
sherpa-ai/sherpa,Applied,2019-10-19,2020-10-19,125,374,95,8,13,0,73
justinshenk/fer,Applied,2019-11-11,2020-11-11,130,777,20,0,4,0,11
MycroftAI/mycroft-core,Applied,2020-01-31,2021-01-31,705,268,663,114,24,0,525
stephenhky/PyShortTextCategorization,Applied,2019-10-19,2020-10-19,797,1192,237,27,18,0,180
permfl/dictlearn,Applied,2020-02-16,2021-02-16,12,1033,0,0,0,0,0
Kensuke-Mitsuzawa/JapaneseTokenizers,Tool,2020-06-03,2021-06-04,185,1564,14,0,13,0,0
felixriese/susi,Applied,2019-09-10,2020-09-10,138,532,80,11,8,0,60
square/pysurvival,Tool,2019-04-28,2020-04-28,30,393,5,4,0,0,0
Axelrod-Python/axelrod-dojo,Applied,2018-10-28,2019-10-29,149,813,22,10,5,0,6
t-sakai-kure/pywsl,Tool,2019-04-04,2020-04-04,82,750,6,2,0,0,3
HealthCatalyst/healthcareai-py,Applied,2018-04-16,2019-04-17,899,727,16,2,0,0,13
BerkeleyAutomation/gqcnn,Applied,2020-06-11,2021-06-12,395,1162,69,65,3,0,0
triagemd/keras-eval,Applied,2018-05-17,2019-05-18,758,444,596,188,22,3,320
theislab/scanpy,Applied,2020-05-17,2021-05-18,218,74,218,84,5,0,102
IBM/MAX-Audio-Classifier,Applied,2020-05-20,2021-05-21,451,1293,50,0,1,0,25
NatLibFi/Annif,Tool,2019-05-15,2020-05-15,746,313,688,50,32,0,602
r9y9/deepvoice3_pytorch,Applied,2019-11-01,2020-11-01,229,1044,12,6,0,0,5
glm-tools/pyglmnet,Applied,2019-10-15,2020-10-15,61,195,61,52,1,0,6
jeffkinnison/shadho,Applied,2019-03-03,2020-03-03,100,1356,50,0,27,0,0
vene/sparse-structured-attention,Applied,2019-09-01,2020-09-01,38,1030,2,0,0,0,1
ubclaunchpad/minutes,Applied,2018-03-27,2019-03-28,373,548,102,16,1,0,75
guillaumegenthial/tf_metrics,Tool,2019-07-24,2020-07-24,12,675,0,0,0,0,0
makcedward/nlpaug,Applied,2020-05-14,2021-05-15,434,785,174,44,21,0,100
NickleDave/hybrid-vocal-classifier,Applied,2020-04-09,2021-04-10,165,1224,3,0,2,0,0
albarji/proxTV,Applied,2019-02-20,2020-02-21,203,1139,21,10,9,0,1
paris-saclay-cds/ramp-board,Applied,2019-11-07,2020-11-07,1792,714,1105,302,45,6,726
NLPatVCU/medaCy,Applied,2020-04-23,2021-04-24,623,778,47,44,2,0,0
