ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,JobFailCount,JobErrorCount
HouzuoGuo/tiedot,NonML,2018-03-31,2020-03-31,90,1358,10,4
HuberTRoy/MusicBox,NonML,2017-01-23,2019-01-24,23,312,0,0
JinnLynn/genpac,NonML,2019-01-09,2021-01-09,31,1616,12,0
Kobzol/hardware-effects,NonML,2018-12-12,2020-12-12,58,753,11,20
KonstantinSchubert/zero,NonML,2016-09-06,2018-09-07,18,1268,0,0
MagicStack/MagicPython,NonML,2019-05-04,2021-05-04,206,1728,5,2
Maratyszcza/NNPACK,NonML,2019-04-30,2021-04-30,289,1718,0,40
Marten4n6/EvilOSX,NonML,2019-02-11,2021-02-11,29,923,0,2
Mimino666/langdetect,NonML,2019-05-17,2021-05-17,41,1688,0,8
MongoEngine/flask-mongoengine,NonML,2019-04-17,2021-04-17,275,1710,6,8
NetEaseGame/ATX,NonML,2017-03-01,2019-03-02,220,953,20,38
P0cL4bs/WiFi-Pumpkin,NonML,2018-04-19,2020-04-19,258,1367,0,12
RJT1990/pyflux,NonML,2017-03-19,2019-03-20,69,953,33,9
Shougo/unite.vim,NonML,2018-06-29,2020-06-29,88,1430,2,0
SirVer/ultisnips,NonML,2018-10-22,2020-10-22,444,1539,165,130
SublimeText/CTags,NonML,2016-05-25,2018-05-26,8,589,0,0
Swall0w/torchstat,NonML,2017-01-25,2019-01-26,24,85,0,0
Tencent/PhoenixGo,NonML,2016-05-13,2018-05-14,8,2,0,0
Tencent/phxpaxos,NonML,2019-05-09,2021-05-09,74,1694,2,0
Workiva/go-datastructures,NonML,2019-04-24,2021-04-24,292,1729,12,15
Wramberg/TerminalView,NonML,2018-08-07,2020-08-07,214,1157,2,1
YadiraF/PRNet,NonML,2018-10-02,2020-10-02,78,882,10,92
aaronjanse/asciidots,NonML,2019-06-06,2021-06-06,149,1347,0,0
ajalt/fuckitpy,NonML,2018-10-20,2020-10-20,13,1396,0,0
alexazhou/VeryNginx,NonML,2018-07-01,2020-07-01,115,1408,1,5
alichtman/stronghold,NonML,2016-03-19,2018-03-20,2,0,0,0
amoffat/snake,NonML,2018-12-29,2020-12-29,32,1568,1,0
amonapp/amon,NonML,2017-02-20,2019-02-21,71,775,18,2
amueller/introduction_to_ml_with_python,NonML,2016-10-19,2018-10-20,10,2,0,0
anishathalye/git-remote-dropbox,NonML,2017-09-17,2019-09-18,19,127,0,0
ansible/ansible-container,NonML,2018-09-24,2020-09-24,563,643,5246,2150
apachecn/hands-on-ml-zh,NonML,2017-01-29,2019-01-30,21,46,0,0
aploium/zmirror,NonML,2017-02-01,2019-02-02,254,903,8,4
areski/python-nvd3,NonML,2019-05-24,2021-05-24,67,1705,14,7
asaini/Apriori,NonML,2019-03-19,2021-03-19,16,1659,0,0
awslabs/aws-shell,NonML,2018-10-08,2020-10-08,150,1530,6,5
binarydud/pyres,NonML,2018-12-31,2020-12-31,12,1503,0,0
blei-lab/edward,NonML,2017-10-22,2019-10-23,99,615,104,57
brainsik/virtualenv-burrito,NonML,2016-05-30,2018-05-31,11,628,0,0
certsocietegenerale/FIR,NonML,2019-05-12,2021-05-12,123,1715,0,14
citronneur/rdpy,NonML,2018-12-31,2020-12-31,32,1113,0,8
clarkduvall/serpy,NonML,2018-08-19,2020-08-19,73,1462,26,9
cloudnativelabs/kube-shell,NonML,2018-08-03,2020-08-03,75,1128,2,5
coderholic/django-cities,NonML,2018-10-03,2020-10-03,220,1480,167,87
codesenberg/bombardier,NonML,2016-02-03,2018-02-03,61,547,10,1
csvoss/onelinerizer,NonML,2017-04-18,2019-04-19,38,947,2,0
cvhciKIT/sloth,NonML,2018-01-06,2020-01-07,41,1250,2,0
epinna/weevely3,NonML,2018-09-09,2020-09-09,121,849,11,1
erikrose/parsimonious,NonML,2019-06-07,2021-06-07,92,1732,2,0
ethz-asl/maplab,NonML,2016-06-24,2018-06-25,23,47,0,0
eudicots/Cactus,NonML,2018-12-24,2020-12-24,23,1550,0,0
fastmonkeys/stellar,NonML,2019-04-02,2021-04-02,24,1259,0,0
getsentry/milksnake,NonML,2019-06-23,2021-06-23,18,1187,0,0
getsentry/raven-python,NonML,2017-01-15,2019-01-16,945,2008,509,111
goldsmith/Wikipedia,NonML,2019-03-13,2021-03-13,59,1602,124,0
google-research/batch-ppo,NonML,2017-01-11,2019-01-12,38,270,21,16
google/vim-maktaba,NonML,2019-08-03,2021-08-03,223,1823,22,30
ionelmc/pytest-benchmark,NonML,2019-06-12,2021-06-12,268,1737,376,82
jacksu/utils4s,NonML,2017-02-09,2019-02-10,11,753,0,0
jameysharp/corrode,NonML,2017-03-10,2019-03-11,141,950,21,15
jazzband/django-admin2,NonML,2018-11-29,2020-11-29,135,1546,138,26
mirumee/satchless,NonML,2019-08-25,2021-08-25,15,1808,0,0
nerevu/riko,NonML,2019-12-29,2021-12-29,230,1986,133,10
oclint/oclint,NonML,2018-11-22,2020-11-22,323,1576,293,3
ofek/hatch,NonML,2018-08-28,2020-08-28,374,1087,80,18
pimusicbox/pimusicbox,NonML,2016-05-21,2018-05-22,1,0,0,0
processone/tsung,NonML,2019-04-08,2021-04-08,147,1328,0,6
pybuilder/pybuilder,NonML,2019-09-04,2021-09-04,884,1870,1491,564
pymc-devs/pymc,NonML,2018-11-23,2020-11-23,1,0,0,0
ry/v8worker2,NonML,2016-05-29,2018-05-30,41,15,8,9
snoack/python-goto,NonML,2019-02-28,2021-02-28,103,1502,76,25
websocket-client/websocket-client,NonML,2019-02-21,2021-02-21,180,916,68,74
AugurProject/augur-core,NonML,2016-11-24,2018-11-25,736,374,218,96
Cloud-CV/Fabrik,NonML,2018-12-14,2020-12-14,796,955,9,1
Doist/bitmapist,NonML,2018-11-12,2020-11-12,50,1563,16,8
EdjoLabs/image-match,NonML,2019-01-05,2021-01-05,115,1621,10,1
FontCustom/fontcustom,NonML,2018-09-21,2020-09-21,75,1501,0,11
SilenceIM/Silence,NonML,2017-08-22,2019-08-23,338,517,3,89
aergoio/litetree,NonML,2018-03-07,2020-03-07,122,559,14,0
baidu/tera,NonML,2017-01-21,2019-01-22,630,795,43,46
benhamner/Metrics,NonML,2019-05-11,2021-05-11,16,1668,0,0
brave/browser-laptop,NonML,2017-01-03,2019-01-04,1096,202,2407,1788
cemoody/lda2vec,NonML,2018-07-02,2020-07-02,13,1442,0,0
cmu-db/peloton,NonML,2017-05-15,2019-05-16,346,336,172,75
dabeaz/curio,NonML,2018-01-29,2020-01-30,577,1298,25,4
debois/elm-mdl,NonML,2016-05-16,2018-05-17,420,664,46,15
dialogflow/dialogflow-python-client,NonML,2017-02-20,2019-02-21,45,930,0,0
dingdang-robot/dingdang-robot,NonML,2017-02-05,2019-02-06,66,320,1,67
djacobs/PyAPNs,NonML,2016-02-09,2018-02-09,17,544,0,0
django-cache-machine/django-cache-machine,NonML,2019-06-10,2021-06-10,60,1762,24,0
douban/dpark,NonML,2019-06-14,2021-06-14,790,1727,17,2
dropbox/godropbox,NonML,2018-07-08,2020-07-08,5,139,0,0
dshearer/jobber,NonML,2016-09-10,2018-09-11,181,764,33,2
dsoprea/GDriveFS,NonML,2019-01-29,2021-01-29,60,1155,18,0
encode/apistar,NonML,2018-04-19,2020-04-19,858,791,376,11
ezaquarii/vpn-at-home,NonML,2017-03-17,2019-03-18,67,80,13,4
facebook/PathPicker,NonML,2019-02-12,2021-02-12,166,1665,37,8
facebookarchive/python-instagram,NonML,2018-10-02,2020-10-02,55,1533,10,0
flaskbb/flaskbb,NonML,2017-05-20,2019-05-21,120,332,112,61
flexxui/flexx,NonML,2019-03-02,2021-03-02,281,1122,104,36
