file_name,TestFail,BuildError,TestError,CodeAnalysisError,TravisError,DeploymentError,NoFailDetected,TimeExceeded,NotPythonLang,LogNotFound,No Fault Found,RepoType
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\677648841.txt,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\677648842.txt,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\677650889.txt,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\677650890.txt,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\694585737.txt,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\694585738.txt,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\705749110.txt,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\705749111.txt,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\729518747.txt,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\729518748.txt,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\729536151.txt,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\729536152.txt,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\729536306.txt,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\729536307.txt,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\729539167.txt,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\729539168.txt,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\730230581.txt,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\730230582.txt,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\730236515.txt,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\732916606.txt,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\732916607.txt,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\732916805.txt,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\732916806.txt,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\743909115.txt,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\743909116.txt,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\747611513.txt,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\747616766.txt,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\747618868.txt,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448133229.txt,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448133307.txt,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448133883.txt,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448133889.txt,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448135301.txt,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
