file_name,TestFail,BuildError,TestError,CodeAnalysisError,TravisError,DeploymentError,Travis Error,RepoType
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\497735811.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\497735812.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\497738849.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\498706015.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\498719484.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\498799690.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\498802558.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\498814047.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\498814049.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\498838004.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\498838005.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\498838007.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\498841653.txt,['Resource Not Found'],"[],['Test Collection Error']","[],['Test Collection Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\498841654.txt,['Resource Not Found'],"[],['Test Collection Error']","[],['Test Collection Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\498841656.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\498848452.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\498848453.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\499153944.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\499153945.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\499173087.txt,[],"[],[]","[],[]",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\499173088.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\499183324.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\499192847.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\499192848.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\501672070.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\501909555.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\514367508.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\514367509.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\514367511.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\521221941.txt,[],"[],['Test Collection Error']","[],['Test Collection Error']",[],[],[],FALSE,Applied
