ProjectName,Build Tools,CI tools,Deployment Automation,Monitoring and Logging,Analyzer,Test
rutujar/scikit-learn,0,0,0,0,0,0
ryfeus/gcf-packs,0,0,0,0,0,1
sangwook236/SWL,1,1,0,0,1,1
sayaleepote/TextDetect,0,0,0,0,0,0
scikit-learn-contrib/hdbscan,1,1,0,0,0,0
scikit-learn-contrib/imbalanced-learn,1,1,0,0,1,1
scikit-learn-contrib/polylearn,1,1,0,0,0,0
scikit-learn/scikit-learn,1,1,0,0,1,1
scikit-multiflow/scikit-multiflow,1,1,1,0,1,1
sebgao/cTensor,0,0,0,0,0,0
sebig3000/MachineLearning,0,0,0,0,0,0
seetaresearch/Dragon,1,0,1,0,1,0
sekia/Algorithm-LibLinear,0,1,0,0,0,0
sepandhaghighi/pycm,1,1,1,0,1,0
serengil/chefboost,0,0,0,0,0,0
serengil/neural-networks-py,0,0,0,0,0,0
sergeyshilin/kaggle-competitions-framework,0,0,0,0,0,0
sfischer13/python-arpa,1,1,0,0,1,1
shankarj67/Water-classifier-fastai,0,0,0,0,0,0
shawnwun/RNNLG,0,0,0,0,0,0
shi510/mlfe,1,1,1,0,0,0
shibing624/text-classifier,0,0,0,0,0,0
shimat/opencvsharp,0,1,1,0,0,1
shogun-toolbox/shogun,1,1,1,0,1,1
shuguang-52/FDSSC,0,0,0,0,0,0
silvandeleemput/memcnn,1,0,1,0,1,0
sisl/mechamodlearn,0,0,0,0,0,0
skorch-dev/skorch,1,1,1,0,1,0
smistad/FAST,1,0,0,0,1,0
snipsco/snips-nlu,1,1,0,0,1,0
snuspl/cruise,1,0,0,0,0,1
spotify/zoltar,1,1,1,0,1,1
sppp/ConvNetCpp,0,0,0,0,0,0
sraashis/ature,0,0,0,0,0,0
src-d/ml,1,1,1,0,1,0
src-d/modelforge,0,1,1,0,1,0
srohit0/trafficVision,1,0,0,0,0,0
stanfordnlp/CoreNLP,1,1,0,0,0,1
stanfordnlp/stanfordnlp,0,1,0,0,0,0
stevewyl/nlp_toolkit,0,0,0,0,0,0
summit1993/I-am-Super,0,0,0,0,0,0
supervisely/supervisely,1,0,1,0,0,0
symisc/ascii_art,0,0,0,0,0,0
symisc/sod,1,1,0,0,0,0
tangledpath/ruby-fann,1,0,0,0,0,1
tensorflow/addons,0,0,0,0,1,1
tensorflow/cleverhans,1,1,1,0,1,0
tensorflow/privacy,0,0,0,0,0,0
tensorflow/ranking,0,0,0,0,0,0
tensorflow/tensor2tensor,1,1,0,0,1,0
tensorflow/tensorflow,1,1,1,0,1,1
tensorflow/tfjs,1,1,1,0,1,1
tensorflow/tfjs-core,1,0,0,0,0,0
tensorflow/tfjs-data,0,0,0,0,0,0
the-super-toys/glimpse-android,1,0,0,0,1,0
thehyve/tmtk,1,1,0,0,0,0
therfoo/therfoo,0,1,0,0,0,0
thombashi/pytablewriter,1,1,0,0,0,0
thu-ml/zhusuan,1,1,0,0,0,0
thuml/Xlearn,1,0,1,0,1,1
tiny-dnn/tiny-dnn,1,1,1,0,1,0
tkrabel/edaviz,1,0,0,0,0,0
tlemo/darwin,1,0,0,0,1,1
tlverse/tmle3,1,1,0,0,1,1
torchgan/torchgan,1,1,0,0,1,0
triagemd/model-converters,0,1,1,0,1,0
tspooner/rsrl,0,1,0,0,1,0
unageanu/jiji2,1,0,0,0,1,0
unagiootoro/ruby-dnn,1,1,1,0,0,0
undertheseanlp/underthesea,1,1,0,0,0,0
unitn-sml/pyconstruct,1,0,0,0,0,0
usnistgov/jarvis,1,1,0,0,1,0
vacancy/SceneGraphParser,0,0,0,0,0,0
vc1492a/henosis,1,0,1,0,0,0
vdorobantu/lyapy,0,0,0,0,0,0
versilov/matrex,1,1,0,0,0,0
vertexclique/orkhon,0,1,0,0,0,0
vijuSR/face_recognition,0,0,0,0,0,0
vkuznet/TFaaS,1,1,1,0,0,0
vlgiitr/GenZoo,0,0,0,0,0,0
vncorenlp/VnCoreNLP,1,0,0,0,0,0
voyages-sncf-technologies/tock,0,0,0,0,0,0
vzhong/embeddings,1,1,1,0,0,0
vzhou842/profanity-check,0,1,0,0,0,0
watzon/cadmium,0,1,0,0,0,0
webfirmframework/wff,1,1,0,0,0,1
weiHelloWorld/accelerated_sampling_with_autoencoder,1,0,0,0,0,0
weizhenzhao/rasa_nlu,1,1,1,0,1,1
whoisraibolt/LBCNN,0,0,0,0,0,0
williamFalcon/pytorch-lightning,1,0,1,0,1,1
williamSYSU/TextGAN-PyTorch,0,0,0,0,0,0
wkcn/MobulaOP,0,1,0,0,1,0
wmkouw/libTLDA,1,1,0,0,0,0
wq2012/SimpleDER,0,1,0,0,1,0
wujian16/Cornell-MOE,1,1,1,0,0,1
xinjli/pytensor,0,0,0,0,0,0
xmartlabs/Bender,0,1,0,0,0,0
yaph/ipython-notebooks,0,0,0,0,0,0
yasserfarouk/negmas,1,1,0,0,1,1
yasufumy/lineflow,1,1,0,0,1,0
yasufumy/pipelib,1,1,0,0,0,0
yhangf/mimose,0,0,0,0,0,0
yinchuandong/sentiment-analysis,0,0,1,0,0,0
yixuan/MiniDNN,1,0,0,0,0,0
ylongqi/openrec,1,0,0,0,0,0
yooper/php-text-analysis,0,1,0,0,0,0
yoshoku/rumale,1,1,0,0,1,0
ysig/GraKeL,1,1,0,0,0,0
yubin-park/bonsai-dt,0,0,0,0,0,1
yui0/catseye,1,0,0,0,0,0
yxonic/fret,1,1,0,0,0,0
yzhao062/pyod,1,1,0,0,0,1
zalandoresearch/famos,0,0,0,0,0,0
zalandoresearch/flair,0,1,0,0,0,1
zaratsian/Spark,0,0,0,0,0,0
zhanghang1989/PyTorch-Encoding,1,0,1,0,1,0
zhongkaifu/RNNSharp,0,0,0,0,0,0
zhongkaifu/Seq2SeqSharp,0,0,0,0,0,0
