RepoName;TravisLanguages
guokr/Caver;python
yasufumy/pipelib;python
yoshoku/rumale;ruby
codeplaysoftware/SYCL-DNN;cpp
MisaOgura/flashtorch;python
modAL-python/modAL;python
menpo/menpo;generic
chainer/chainercv;python
cnkuangshi/LightCTR;cpp
neuronets/nobrainer;python
business-science/timetk;r
iamDecode/sklearn-pmml-model;python
tlverse/tmle3;r
CMU-Perceptual-Computing-Lab/openpose;None
NVIDIA/DIGITS;python
r9y9/nnmnkwii;python
LanguageMachines/frog;cpp
stanfordnlp/stanfordnlp;python
raviqqe/tensorflow-qnd;python
torchgan/torchgan;python
dice-group/LIMES;java
Mariewelt/OpenChem;python
reiinakano/scikit-plot;python
onnx/onnx-tensorflow;python
SGpp/SGpp;cpp
pytorch/tnt;python
PetrochukM/PyTorch-NLP;python
shimat/opencvsharp;None
clips/pattern;python
src-d/modelforge;python
rosette-api/nodejs;node_js
Maluuba/nlg-eval;python
Blind-Striker/gender-prediction-turkish;csharp
OGFris/GoStats;go
linkedin/Avro2TF;scala
BVLC/caffe;cpp
pytorch/ignite;python
yxonic/fret;python
arthurpaulino/miraiml;python
fukuball/jieba-php;php
Tencent/ncnn;cpp
axa-group/nlp.js;node_js
tensorflow/tfjs;node_js
MaxHalford/eaopt;go
fukatani/stacked_generalization;python
LanguageMachines/libfolia;cpp
shogun-toolbox/shogun;cpp
CrowdTruth/CrowdTruth-core;python
cltk/cltk;python
kermitt2/delft;python
tensorflow/cleverhans;python
ecohealthalliance/EpiTator;python
Jopepato/SMiLE;python
rsokl/MyGrad;python
chakki-works/seqeval;python
alan-turing-institute/skpro;python
openml/openml-tutorial;node_js
exectails/Yggdrasil;csharp
NIHOPA/NLPre;python
biolab/orange3-educational;python
SciSharp/SiaNet;csharp
CogComp/lbjava;java
FidoProject/Fido;cpp
ClarityNLP/ClarityNLP;python
scikit-learn/scikit-learn;python
wmkouw/libTLDA;generic
boost-R/mboost;r
root-project/root;cpp,python
northwesternmutual/ai-challenge;node_js
d4l3k/go-bayesopt;go
greyblake/whatlang-rs;rust
openml/openml-python;python
Tyill/skynet;cpp
nielstron/quantulum3;python
chainer/chainer;python
openml/automlbenchmark;python
vzhou842/profanity-check;python
pytorch/vision;python
montanaflynn/stats;go
primitiv/primitiv;None
eantcal/nunn;cpp
versilov/matrex;elixir
jenetics/jenetics;java
rai-project/caffe;None
WeBankFinTech/FATE;bash
raamana/neuropredict;python
nlgranger/SeqTools;python
google/uis-rnn;python
antoinecarme/pyaf;python
Rostlab/nalaf;python
mratsim/Arraymancer;c
laresbernardo/lares;r
gosha20777/keras2cpp;python
webfirmframework/wff;java
SekouD/mlconjug;python
Pseudomanifold/Aleph;cpp
symisc/sod;c
rasbt/mlxtend;generic
datamade/usaddress;python
scikit-multiflow/scikit-multiflow;python
aksnzhy/xlearn;cpp
microsoft/LightGBM;cpp
kundajelab/dragonn;python
LLNL/lbann;cpp
MaxHalford/prince;python
intel-analytics/BigDL;java
openml/OpenML;generic,php
explosion/spaCy;python
pixiedust/pixiedust;python
amadeus4dev/amadeus-node;node_js
ibayer/fastFM;c
RasaHQ/rasa_core;python
inspirehep/magpie;python
baidu/Familia;cpp
lucasrodes/whatstk;python
AtheMathmo/rusty-machine;rust
jnbraun/bcnn;c
rosette-api/python;python
dmlc/xgboost;None
csukuangfj/OpenCNN;cpp
apache/incubator-mxnet;None
goulu/Goulib;python
LearnLib/learnlib;java
ray-project/ray;generic
fastnlp/fastNLP;python
TechPrimers/core-nlp-example;java
feedly/transfer-nlp;python
KotlinNLP/SimpleDNN;java
scikit-learn-contrib/hdbscan;python
JuliaML/Learn.jl;julia
bhargavvader/pycobra;python
chopralab/lemon;cpp
wkcn/MobulaOP;python
gunthercox/ChatterBot;python
vertexclique/orkhon;python
jfilter/text-classification-keras;python
openopt/copt;python
OpenANN/OpenANN;cpp
bamos/block;python
RGF-team/rgf;generic
GRAAL-Research/poutyne;python
lai-bluejay/diego;python
funkey/gunpowder;python
1adrianb/face-alignment;python
bakercp/ofxDlib;c++
rai-project/tensorflow;go
jubatus/jubatus;cpp
bmcfee/muda;python
proycon/foliapy;python
scikit-learn-contrib/imbalanced-learn;python
mlpack/ensmallen;cpp
scikit-learn-contrib/polylearn;python
KxSystems/nlp;c
nschaetti/EchoTorch;python
mwydmuch/ViZDoom;cpp
RaRe-Technologies/gensim;python
unagiootoro/ruby-dnn;ruby
jtablesaw/tablesaw;java
xmartlabs/Bender;swift
stanfordnlp/CoreNLP;java
OlafenwaMoses/ImageAI;python
shi510/mlfe;cpp
JohnSnowLabs/spark-nlp;scala,node_js
flennerhag/mlens;python
patrikhuber/eos;cpp
owulveryck/onnx-go;go
modern-fortran/neural-fortran;c
roberino/linqinfer;csharp
ku-nlp/jumanpp;cpp
esimov/pigo;go
nanxstats/enpls;r
tiny-dnn/tiny-dnn;cpp
triagemd/model-converters;python
proycon/pynlpl;python
onnx/onnx-caffe2;python
oracle/Skater;python
undertheseanlp/underthesea;python
pfnet-research/menoh;cpp
jpuigcerver/Laia;c
XiaoMi/mace;cpp
crcollins/molml;python
davisking/dlib;None
LanguageMachines/timbl;cpp
openml/openml-r;r
autonomio/kerasplotlib;python
elki-project/elki;java
nanxstats/protr;r
thu-ml/zhusuan;python
dmitryikh/leaves;go
alfredfrancis/ai-chatbot-framework;python
medtagger/MedTagger;None
BehaviorTree/BehaviorTree.CPP;generic,cpp,python
snipsco/snips-nlu;python
tspooner/rsrl;rust
morinim/vita;cpp
DeNA/ChainerPruner;python
chakki-works/sumeval;python
dssg/triage;python
jmaggio14/imagepypelines;python
thehyve/tmtk;python
EducationalTestingService/skll;python
usnistgov/jarvis;nix
rdk/p2rank;groovy
vkuznet/TFaaS;go
dkpro/dkpro-cassis;python
amzn/xfer;python
BIMSBbioinfo/maui;python
amadeus4dev/amadeus-java;java
amadeus4dev/amadeus-ruby;ruby
microsoft/ConversationLearner-Models;node_js
abadojack/whatlanggo;go
CPJKU/madmom;python
kakao/n2;python
JohnVinyard/zounds;python
nokitjs/nokit;node_js
ysig/GraKeL;python
proycon/colibri-core;python
alvations/wordnet;python
Thenerdstation/mltest;python
CBICA/CaPTk;cpp
hazimehh/L0Learn;R
microsoft/MMdnn;python
chainer/chainerrl;python
patrickschur/language-detection;php
Robbepop/prophet;rust
deepmind/lab;c++
james-bowman/nlp;go
Kitware/SMQTK;python
pfnet-research/menoh-ruby;ruby
vzhong/embeddings;python
sekia/Algorithm-LibLinear;perl
DeepMLNet/DeepNet;csharp
DynaSlum/satsense;python
SmartDataAnalytics/BioKEEN;python
skorch-dev/skorch;python
thombashi/pytablewriter;python
mdbloice/Augmentor;python
Tw1ddle/needs-ai-lib;haxe
tensorflow/tensor2tensor;python
azu/nlp-pattern-match;node_js
DigitalSlideArchive/HistomicsTK;python
jmschrei/pomegranate;python
plstcharles/thelper;python
majianjia/nnom;python
boost-R/gamboostLSS;r
yasserfarouk/negmas;python
AdamStelmaszczyk/gtsa;cpp
therfoo/therfoo;go
LanguageMachines/ucto;cpp
archilogic-com/3dio-js;node_js
TeamHG-Memex/eli5;python
nickgillian/grt;cpp
wq2012/SimpleDER;python
bakwc/JamSpell;cpp
rabidgremlin/Mutters;java
annoviko/pyclustering;generic
lang-ai/langai-node;node_js
C5T/Current;cpp
sangwook236/SWL;generic
amadeus4dev/amadeus-python;python
nilearn/nilearn;python
catboost/catboost;python
rai-project/mxnet;None
bsc-wdc/dislib;python
yooper/php-text-analysis;php
openvenues/libpostal;c
yzhao062/pyod;python
