RepoName;TravisAndGHMatch;Intersection;TravisOnly;GithubOnly
guokr/Caver;True;python;;
yasufumy/pipelib;True;python;;makefile
yoshoku/rumale;True;ruby;;c++,terra,c
codeplaysoftware/SYCL-DNN;True;c++;;batchfile,shell,cmake,dockerfile,python
MisaOgura/flashtorch;True;python;;html,jupyter notebook,css
modAL-python/modAL;True;python;;shell
menpo/menpo;False;;generic;c++,makefile,python,c
chainer/chainercv;True;python;;dockerfile,shell
cnkuangshi/LightCTR;True;c++;;makefile,python,c,shell
neuronets/nobrainer;True;python;;dockerfile,jupyter notebook,shell
business-science/timetk;True;r;;css
iamDecode/sklearn-pmml-model;True;python;;r
tlverse/tmle3;True;r;;makefile,tex
CMU-Perceptual-Computing-Lab/openpose;False;;None;batchfile,shell,cmake,cuda,c++,html,hcl,python
NVIDIA/DIGITS;True;python;;shell,lua,makefile,dockerfile,css,html,javascript
r9y9/nnmnkwii;True;python;;shell
LanguageMachines/frog;True;c++;;makefile,m4,shell
stanfordnlp/stanfordnlp;True;python;;html,javascript,css,shell
raviqqe/tensorflow-qnd;True;python;;ruby
torchgan/torchgan;True;python;;jupyter notebook
dice-group/LIMES;True;java;;php,shell,lua,dockerfile,html,python,vue,dart,javascript
Mariewelt/OpenChem;True;python;;batchfile,dockerfile,shell
reiinakano/scikit-plot;True;python;;
onnx/onnx-tensorflow;True;python;;shell
SGpp/SGpp;True;c++;;postscript,shell,matlab,makefile,cmake,cuda,css,java,python,r,tex,c,swig
pytorch/tnt;True;python;;shell
PetrochukM/PyTorch-NLP;True;python;;shell
shimat/opencvsharp;False;;None;c#,cmake,dockerfile,c++,powershell,c
clips/pattern;True;python;;html,javascript
src-d/modelforge;True;python;;html,dockerfile
rosette-api/nodejs;True;;node_js;javascript,shell
Maluuba/nlg-eval;True;python;;
Blind-Striker/gender-prediction-turkish;True;;csharp;powershell,c#,shell
OGFris/GoStats;True;go;;
linkedin/Avro2TF;True;scala;;
BVLC/caffe;True;c++;;shell,cmake,matlab,makefile,dockerfile,cuda,python
pytorch/ignite;True;python;;jupyter notebook,shell
yxonic/fret;True;python;;makefile
arthurpaulino/miraiml;True;python;;makefile
fukuball/jieba-php;True;php;;
Tencent/ncnn;True;c++;;batchfile,shell,cmake,python,glsl,c,swig
axa-group/nlp.js;True;;node_js;html,javascript,webassembly,css
tensorflow/tfjs;True;;node_js;batchfile,typescript,c,shell,ruby,dockerfile,css,c++,html,java,python,starlark,javascript,objective-c
MaxHalford/eaopt;True;go;;
fukatani/stacked_generalization;True;python;;
